material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
87,1,mcq,practice,,Rasio 12:18 disederhanakan menjadi ...,,,2:3,,,2:3,3:2,6:9,4:6,,,,,,,
87,2,essay,practice,,Tuliskan arti rasio 1:4 dalam kalimat.,,,Setiap 1 bagian A ada 4 bagian B.,,,,,,,,,,,,,
87,3,mcq,practice,,"Jika perbandingan susu : cokelat = 4:6, maka bentuk paling sederhana adalah ...",,,2:3,,,2:3,3:2,4:6,6:4,,,,,,,
87,4,essay,practice,,Dua campuran: 2 gelas cokelat + 1 gelas susu dan 5 gelas cokelat + 4 gelas susu. Campuran mana lebih kuat rasa cokelat?,,,Campuran 2:1 lebih kuat.,,,,,,,,,,,,,
87,5,mcq,practice,,Rasio 3:9 setara dengan ...,,,1:3,,,1:3,3:1,2:6,3:6,,,,,,,
87,6,essay,practice,,Tuliskan rasio panjang : lebar bingkai 120 cm x 80 cm.,,,3:2,,,,,,,,,,,,,
87,7,mcq,practice,,Perbandingan 80% cokelat murni dan 20% gula setara dengan rasio ...,,,4:1,,,4:1,1:4,8:2,2:8,,,,,,,
87,8,essay,practice,,"Jika berat cokelat batang 150 g dengan 80% cokelat murni, berapa gram cokelat murni?",,,120,,,,,,,,,,,,,
87,9,mcq,practice,,Rasio 2:5 dapat ditulis sebagai pecahan ...,,,2/5,,,2/5,5/2,3/5,2/3,,,,,,,
87,10,essay,practice,,Tuliskan 70% dalam bentuk pecahan per seratus.,,,70/100,,,,,,,,,,,,,
87,11,mcq,practice,,Rasio 5:1 berarti ...,,,Setiap 5 bagian A ada 1 bagian B,,,Setiap 5 bagian A ada 1 bagian B,Setiap 1 bagian A ada 5 bagian B,A + B = 6,Selisih A dan B = 4,,,,,,,
87,12,essay,practice,,"Rasio jarak tempuh komodo dewasa 11,2 km dan anak 2000 m adalah ...",,,5.6:1,,,,,,,,,,,,,
87,13,mcq,practice,,Manakah yang membandingkan dua besaran dengan rasio?,,,Panjang : lebar,,,Panjang : lebar,Panjang - lebar,Panjang + lebar,Panjang x lebar,,,,,,,
87,14,essay,practice,,Sebutkan satu contoh penggunaan rasio dalam kehidupan sehari-hari.,,,"Contoh: resep masakan, skala peta, campuran minuman.",,,,,,,,,,,,,
87,15,mcq,practice,,Rasio 9:6 disederhanakan menjadi ...,,,3:2,,,3:2,2:3,9:6,6:9,,,,,,,
87,16,essay,practice,,"Jika rasio gula : tepung = 1:3 dan tepung 300 g, berapa gram gula?",,,100,,,,,,,,,,,,,
87,17,mcq,practice,,Rasio 1:2 lebih kecil dari 31:61 karena ...,,,1/2 < 31/61,,,1/2 < 31/61,1/2 > 31/61,1/2 = 31/61,Tidak bisa dibandingkan,,,,,,,
87,18,essay,practice,,Tentukan rasio pedesaan : perkotaan jika datanya 45 dan 30.,,,3:2,,,,,,,,,,,,,
87,19,mcq,practice,,"Jika perbandingan A:B = 2:3, maka perbandingan B:A adalah ...",,,3:2,,,3:2,2:3,5:2,2:5,,,,,,,
87,20,essay,practice,,Rasio panjang bidang miring : tinggi = 150:100. Sederhanakan.,,,3:2,,,,,,,,,,,,,
87,21,mcq,practice,,Rasio 4:10 setara dengan ...,,,2:5,,,2:5,5:2,4:5,1:2,,,,,,,
87,22,essay,practice,,"Jika 1/2 cangkir = 8 sdm, maka 3/4 cangkir = ... sdm",,,12,,,,,,,,,,,,,
87,23,mcq,practice,,Rasio 2:1 lebih besar daripada 5:4 karena ...,,,2/1 > 5/4,,,2/1 > 5/4,2/1 < 5/4,2/1 = 5/4,Tidak dapat dibandingkan,,,,,,,
87,24,essay,practice,,Tuliskan rasio dari 18 siswa laki-laki dan 12 siswa perempuan (laki-laki : perempuan).,,,3:2,,,,,,,,,,,,,
87,25,mcq,practice,,Rasio 6:8 disederhanakan menjadi ...,,,3:4,,,3:4,4:3,6:8,2:3,,,,,,,
87,26,essay,practice,,"Jika rasio air : sirup = 5:1 dan air 250 ml, berapa ml sirup?",,,50,,,,,,,,,,,,,
87,27,mcq,practice,,Rasio 7:28 setara dengan ...,,,1:4,,,1:4,4:1,7:21,2:7,,,,,,,
87,28,essay,practice,,Ubah rasio 3:5 menjadi pecahan sederhana.,,,3/5,,,,,,,,,,,,,
87,29,mcq,practice,,Manakah yang merupakan rasio ekuivalen dari 2:3?,,,4:6,,,4:6,2:6,6:4,3:2,,,,,,,
87,30,essay,practice,,"Jika rasio susu : cokelat = 2:3 dan total 25 gelas, berapa gelas susu?",,,10,,,,,,,,,,,,,
87,31,mcq,practice,,Rasio 10:15 disederhanakan menjadi ...,,,2:3,,,2:3,3:2,5:3,1:2,,,,,,,
87,32,essay,practice,,Tuliskan rasio 0.8 : 0.2 dalam bentuk paling sederhana.,,,4:1,,,,,,,,,,,,,
87,33,mcq,practice,,Skala 1:200 berarti ...,,,1 cm pada gambar = 200 cm sebenarnya,,,1 cm pada gambar = 200 cm sebenarnya,200 cm pada gambar = 1 cm sebenarnya,Skala tidak berkaitan ukuran,Tidak ada perubahan ukuran,,,,,,,
87,34,essay,practice,,"Jika skala peta 1:50.000 dan jarak di peta 3 cm, jarak sebenarnya = ... cm",,,150000,,,,,,,,,,,,,
87,35,mcq,practice,,Rasio 5:1 dapat memiliki pasangan bilangan ...,,,25 dan 5,,,25 dan 5,20 dan 10,15 dan 5,10 dan 25,,,,,,,
