"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"63","1","pilihan_ganda","practice","Data nilai: 6, 8, 7, 9, 6, 10, 8, 7. Urutan dari terkecil ke terbesar adalah ...","","","","B","","","6, 7, 8, 9, 10, 6, 7, 8","6, 6, 7, 7, 8, 8, 9, 10","10, 9, 8, 8, 7, 7, 6, 6","6, 7, 7, 8, 8, 9, 10, 6","","","","","","",""
"63","2","essay","practice","Data banyak anggota keluarga: 3, 5, 4, 6, 4, 5, 3, 7. Tentukan data terkecil, terbesar, dan jangkauannya.","","","","terkecil 3, terbesar 7, jangkauan 4","","","","","","","","","","","","",""
"63","3","multipart","practice","Perhatikan data: 5, 6, 6, 7, 8, 8, 8, 9, 10, 10.","","","","","","","","","","","","","","","","","a|Nilai yang paling sering muncul|8;b|Jumlah data bernilai 10|2;c|Jumlah seluruh data|10"
"63","4","pilihan_ganda","practice","Dari tabel pada gambar, banyak siswa yang nilainya lebih dari 7 adalah ...","","","/images/math3-bab5-data/q4-nilai-ulangan.png","C","","","9","10","11","12","","","","","","",""
"63","5","essay","practice","Data suhu pagi (derajat C): 26, 28, 27, 29, 26, 30, 28. Urutkan data lalu tentukan jangkauannya.","","","","26,26,27,28,28,29,30; jangkauan 4","","","","","","","","","","","","",""
"63","6","pilihan_ganda","practice","Data kelereng: Andi 3, Beni 9, Cici 7, Dodi 9, Evi 5. Pernyataan yang benar adalah ...","","","","A","","","Beni dan Dodi terbanyak dan jumlahnya sama","Andi paling banyak","Tidak ada yang jumlahnya sama","Jangkauan data 5","","","","","","",""
"63","7","multipart","practice","Nilai Matematika 8 siswa: 7, 8, 8, 9, 6, 7, 8, 10.","","","","","","","","","","","","","","","","","a|Banyak siswa nilai 8|3;b|Banyak siswa nilai kurang dari 8|3;c|Jangkauan data|4"
"63","8","pilihan_ganda","practice","Turus yang tepat untuk frekuensi 9 adalah ...","","","","D","","","||||","||||/","||||/|","||||/||||","","","","","","",""
"63","9","essay","practice","Kata MATEMATIKA. Tentukan banyak huruf A, T, dan M. Lalu sebutkan huruf yang frekuensinya paling banyak.","","","","A 3, T 2, M 2, paling banyak A","","","","","","","","","","","","",""
"63","10","pilihan_ganda","practice","Data nilai: 5,5,6,6,6,7,7,8,9,9. Banyak siswa yang nilainya sama dengan atau lebih dari 7 adalah ...","","","","B","","","3","5","6","7","","","","","","",""
