material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
82,1,mcq,practice,"Sebuah persegi panjang berluas 6 cm2. Jika panjang x dan lebar y, hubungan yang benar adalah ...",,,,xy=6,,,xy=6,x+y=6,y=6x,y=6-x,,,,,,,
82,2,essay,practice,"Jika y berbanding terbalik dengan x dan saat x=12, y=6, tentukan y dalam x.",,,,y=72/x,,,,,,,,,,,,,
82,3,mcq,practice,"Jika y=72/x, maka y saat x=9 adalah ...",,,,8,,,6,8,9,12,,,,,,,
82,4,essay,practice,Waktu y jam untuk menempuh 12 km dengan kecepatan x km/jam. Nyatakan y dalam x.,,,,y=12/x,,,,,,,,,,,,,
82,5,mcq,practice,"Pada perbandingan berbalik nilai, jika x menjadi 2 kali, maka y ...",,,,menjadi setengah,,,menjadi dua kali,menjadi setengah,tetap,menjadi empat kali,,,,,,,
82,6,essay,practice,Tali 18 m dibagi x bagian sama. Panjang tiap bagian y adalah ...,,,,y=18/x,,,,,,,,,,,,,
82,7,mcq,practice,Sisa jus setelah diminum x ml dari 500 ml adalah y=500-x. Hubungan ini ...,,,,bukan berbalik nilai,,,berbalik nilai,bukan berbalik nilai,senilai,kuadrat,,,,,,,
82,8,essay,practice,"Segitiga luas 30 cm2, alas x, tinggi y. Nyatakan y dalam x.",,,,y=60/x,,,,,,,,,,,,,
82,9,mcq,practice,"Jika y=60/x dan x=5, maka y= ...",,,,12,,,10,12,15,20,,,,,,,
82,10,essay,practice,"Jika y berbanding terbalik dengan x dan saat x=2, y=9, maka konstanta a= ...",,,,18,,,,,,,,,,,,,
82,11,mcq,practice,Grafik y=a/x berbentuk ...,,,,hiperbola,,,garis lurus,parabola,hiperbola,lingkaran,,,,,,,
82,12,essay,practice,"Untuk y=6/x, tentukan y saat x=-3.",,,,-2,,,,,,,,,,,,,
82,13,mcq,practice,"Jika a>0 pada y=a/x, grafik berada pada kuadran ...",,,,I dan III,,,I dan III,II dan IV,I saja,III saja,,,,,,,
82,14,essay,practice,"Jika y berbalik nilai dan x=-2 memberi y=9, maka y saat x=6 adalah ...",,,,-3,,,,,,,,,,,,,
82,15,mcq,practice,"Jika y berbalik nilai dengan x dan xy= -20, maka y saat x=5 adalah ...",,,,-4,,,-4,4,-5,5,,,,,,,
82,16,essay,practice,Sebuah tangki diisi 4 L/menit selama 1 jam. Volume total air adalah ...,,,,240,,,,,,,,,,,,,
82,17,mcq,practice,"Jika diperlukan y menit untuk mengisi penuh dengan kecepatan x L/menit dan volume tetap 240 L, maka ...",,,,y=240/x,,,y=240/x,y=240x,y=x/240,y=240-x,,,,,,,
82,18,essay,practice,"Jika kecepatan 5 L/menit, waktu mengisi 240 L adalah ...",,,,48,,,,,,,,,,,,,
82,19,mcq,practice,"Pada tabel x=10,20,30 dan y=30,15,10, hubungan x dan y adalah ...",,,,berbalik nilai,,,senilai,berbalik nilai,linier,konstan,,,,,,,
82,20,essay,practice,"Jika xy=300 dan x=12, y= ...",,,,25,,,,,,,,,,,,,
82,21,mcq,practice,"Jika y=-6/x, maka konstanta perbandingannya adalah ...",,,,-6,,,6,-6,0,1,,,,,,,
82,22,essay,practice,"Jika y=5/x, tentukan y saat x=0.5.",,,,10,,,,,,,,,,,,,
82,23,mcq,practice,"Pada y=a/x, ketika x mendekati 0 dari positif, y ...",,,,membesar tanpa batas,,,mendekati 0,membesar tanpa batas,tetap,menjadi negatif,,,,,,,
82,24,essay,practice,Tuliskan domain yang tidak diperbolehkan pada y=8/x.,,,,x=0,,,,,,,,,,,,,
82,25,mcq,practice,"Jika y=24/x dan x bertambah dari 3 ke 6, maka y berubah dari ...",,,,8 ke 4,,,4 ke 8,8 ke 4,6 ke 3,12 ke 6,,,,,,,
82,26,essay,practice,"Berat dan jarak pada tuas: jika 10 g pada 30 cm seimbang, konstanta xy adalah ...",,,,300,,,,,,,,,,,,,
82,27,mcq,practice,"Jika konstanta xy=300 dan berat 60 g, jarak y adalah ...",,,,5,,,5,6,4,3,,,,,,,
82,28,essay,practice,"Pada roda gigi, jika gigi A 30 dan berputar 6 kali/detik, maka gigi B 60 berputar ...",,,,3,,,,,,,,,,,,,
82,29,mcq,practice,"Jika gigi B x dan putaran y, hubungan yang benar ...",,,,xy=180,,,xy=180,y=180x,y=180-x,y=x/180,,,,,,,
82,30,essay,practice,"Sebuah kawat 54 g panjang 3 m. Untuk berat 80 g, panjang kawat adalah ...",,,,4.444,,,,,,,,,,,,,
82,31,mcq,practice,Berat paku: 20 paku 50 g. Berat 300 paku adalah ...,,,,750,,,750,600,800,900,,,,,,,
82,32,essay,practice,"Jika y berbalik nilai dengan x dan y=4 saat x= -6, maka persamaan y dalam x adalah ...",,,,y=-24/x,,,,,,,,,,,,,
82,33,mcq,practice,"Jika y=-24/x, maka y saat x=-3 adalah ...",,,,8,,,-8,8,-6,6,,,,,,,
82,34,essay,practice,"Luas jajargenjang 24 cm2, alas x, tinggi y. Nyatakan y dalam x.",,,,y=24/x,,,,,,,,,,,,,
82,35,mcq,practice,"Jika y=24/x dan x=8, y= ...",,,,3,,,2,3,4,6,,,,,,,
82,36,essay,practice,"Jika xy=72 dan x=-9, y= ...",,,,-8,,,,,,,,,,,,,
82,37,mcq,practice,"Pada y=12/x, jika x= -4 maka y= ...",,,,-3,,,-3,3,-4,4,,,,,,,
82,38,essay,practice,"Jika y=18/x dan y= -3, maka x= ...",,,,-6,,,,,,,,,,,,,
82,39,mcq,practice,Grafik y= a/x untuk a<0 berada di kuadran ...,,,,II dan IV,,,I dan III,II dan IV,I dan II,III dan IV,,,,,,,
82,40,essay,practice,"Jika x bertambah 3 kali pada y= a/x, y menjadi ...",,,,¹⁄₃,,,,,,,,,,,,,
