no,type,question,option_a,option_b,option_c,option_d,answer
1,mcq,"Titik A(3, -2) ditranslasikan oleh vektor ( -4, 5 ) lalu hasilnya direfleksikan terhadap sumbu y. Koordinat akhir adalah …","(1, 3)","(-1, 3)","(1, -3)","(-1, -3)",B
2,mcq,"Garis 2x + 3y = 6 ditranslasikan oleh vektor (2, -1). Persamaan garis hasil translasi adalah …",2x + 3y = 7,2x + 3y = 1,2x + 3y = 3,2x + 3y = 9,A
3,mcq,"Titik P(x, y) direfleksikan terhadap garis y = x lalu dirotasi 90° searah jarum jam terhadap O(0,0). Koordinat akhir adalah …","(x, y)","(y, -x)","(x, -y)","(-y, x)",B
4,mcq,"Segitiga ABC dengan A(1,2), B(4,2), C(1,6) didilatasikan terhadap O(0,0) dengan faktor skala k = -2. Koordinat A’ adalah …","(-2, -4)","(2, 4)","(-2, 4)","(2, -4)",A
5,mcq,"Bangun datar diputar 180° terhadap titik O(0,0). Manakah pernyataan yang benar?","Koordinat berubah (x, y) menjadi (y, x)","Koordinat berubah (x, y) menjadi (-x, -y)","Koordinat berubah (x, y) menjadi (x, -y)","Koordinat berubah (x, y) menjadi (-x, y)",B
6,mcq,"Titik Q(5, -1) direfleksikan terhadap garis x = 2. Koordinat bayangannya adalah …","(-1, -1)","(-1, 1)","(1, -1)","(-3, -1)",A
7,mcq,"Titik R(-3, 4) direfleksikan terhadap garis y = -2. Koordinat bayangannya adalah …","(-3, -8)","(-3, 0)","(3, -8)","(3, 0)",A
8,mcq,"Segitiga ABC didilatasikan terhadap P(1, -2) dengan faktor skala 3. Titik A(2, 1) menjadi A’. Koordinat A’ adalah …","(4, 7)","(4, 1)","(5, 7)","(7, 4)",C
9,mcq,"Titik S(2, 5) diputar 90° berlawanan arah jarum jam terhadap O(0,0). Koordinat bayangannya adalah …","(5, -2)","(-5, 2)","(-2, -5)","(-5, -2)",B
10,mcq,"Jika bangun A kongruen dengan bangun B, maka …",Ukuran dapat berubah asal bentuk sama,Sisi bersesuaian sama panjang dan sudut bersesuaian sama besar,Hanya luas yang sama,Hanya keliling yang sama,B
11,mcq,"Titik T(-1, 3) direfleksikan terhadap sumbu x lalu ditranslasikan oleh (4, -2). Koordinat akhir adalah …","(3, 1)","(3, -1)","(5, 1)","(5, -1)",A
12,mcq,"Garis y = 2x + 1 diputar 180° terhadap O(0,0). Persamaan garis bayangan adalah …",y = 2x + 1,y = 2x - 1,y = -2x + 1,y = -2x - 1,B
13,mcq,"Titik A(4, 1) didilatasikan terhadap O(0,0) sehingga menjadi A’(10, 2.5). Faktor skala k adalah …",2,2.5,3,1.5,B
14,mcq,Sebuah persegi dengan sisi 4 cm didilatasikan dengan faktor skala 1/2. Luas bayangan adalah …,4 cm²,8 cm²,16 cm²,32 cm²,A
15,mcq,"Titik M(x, y) direfleksikan terhadap garis y = -x. Hasilnya adalah …","(y, x)","(-y, -x)","(-y, x)","(y, -x)",C
