material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
57,1,essay,practice,,"Pada timbangan, sisi A turun dan sisi B naik. Benda A ... dari benda B.",,,lebih berat,,,,,,,,,,,,,
57,4,essay,practice,,Tas lebih berat dari buku. Buku lebih berat dari pensil. Benda paling ringan adalah ...,,,pensil,,,,,,,,,,,,,
57,6,essay,practice,,Sebuah boneka setara dengan 4 bola tenis. Sebuah kotak setara dengan 6 bola tenis. Benda yang lebih berat adalah ...,,,kotak,,,,,,,,,,,,,
57,9,essay,practice,,Ani menimbang apel dengan 3 kelereng. Jeruk setara 5 kelereng. Buah yang lebih berat adalah ...,,,jeruk,,,,,,,,,,,,,
57,11,essay,practice,,Jam analog menunjukkan jarum pendek di 7 dan jarum panjang di 12. Waktu menunjukkan pukul ...,,,7,,,,,,,,,,,,,
57,14,essay,practice,,Rara belajar dari pukul 18 sampai 19. Mandi dari pukul 19 sampai 19.20. Kegiatan yang lebih lama adalah ...,,,belajar,,,,,,,,,,,,,
57,16,essay,practice,,"Di kelas, penggaris lebih berat daripada penghapus, tetapi lebih ringan daripada buku. Benda paling berat adalah ...",,,buku,,,,,,,,,,,,,
57,19,essay,practice,,"Kegiatan A 10 menit, kegiatan B 25 menit. Kegiatan yang lebih sebentar adalah ...",,,A,,,,,,,,,,,,,
57,21,essay,practice,,Jam digital menunjukkan 05:00. Waktu tersebut termasuk ...,,,pagi,,,,,,,,,,,,,
57,24,essay,practice,,"Jika 1 botol air setara 2 gelas, dan 1 ember setara 5 gelas, benda yang lebih berat adalah ...",,,ember,,,,,,,,,,,,,
57,26,essay,practice,,"Paling ringan: kelereng, buku, tas. Urutkan dari paling ringan ke paling berat.",,,"kelereng, buku, tas",,,,,,,,,,,,,
57,29,essay,practice,,"Dina bangun pukul 06:00, berangkat sekolah pukul 07:00. Lama waktunya adalah ...",,,1 jam,,,,,,,,,,,,,
57,31,essay,practice,,"Dalam lomba, A 12 menit, B 12 menit. Perbandingan waktunya adalah ...",,,sama,,,,,,,,,,,,,
57,34,essay,practice,,"Roni mengangkat kotak 3 koin, Santi 4 koin, Edo 5 koin (satuan tidak baku). Siapa paling kuat?",,,Edo,,,,,,,,,,,,,
57,36,essay,practice,,"Ibu menimbang semangka dengan 8 kelereng, melon dengan 7 kelereng. Mana lebih berat?",,,semangka,,,,,,,,,,,,,
57,39,essay,practice,,Pukul 20:00 termasuk waktu ...,,,malam,,,,,,,,,,,,,
57,2,mcq,practice,,"Jika dua benda seimbang pada timbangan, artinya ...",,,C,,,satu lebih berat,satu lebih ringan,sama berat,tidak bisa dibandingkan,,,,,,,
57,5,mcq,practice,,Benda yang lebih berat akan berada di posisi ... pada timbangan jungkat-jungkit.,,,A,,,lebih bawah,lebih atas,tetap,di tengah,,,,,,,
57,8,mcq,practice,,Jam analog menunjukkan jarum panjang di 12 dan jarum pendek di 5. Waktunya ...,,TODO_IMG_JAM_5_TEPAT.png,B,,,pukul 4,pukul 5,pukul 6,pukul 7,,,,,,,
57,10,mcq,practice,,Yang menunjukkan waktu sore adalah ...,,,D,,,05:00,10:00,13:00,16:00,,,,,,,
