material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
12,1,essay,practice,"Keliling persegi panjang 48 cm. Jika panjang 14 cm, berapa lebarnya?",,,,10 cm,,,,,,,,,,,,,
12,2,mcq,practice,"Luas persegi panjang 72 cm², panjang 9 cm. Lebarnya...",,,,B,,,6 cm,7 cm,8 cm,9 cm,,,,,,,
12,3,drag_drop,practice,Pasangkan bangun dengan kelilingnya.,,,TODO_IMG_KELILING_SET_01.png,,,,,,,,,,,,"persegi sisi 6;persegi panjang 5x9;segitiga sama sisi sisi 7;trapesium sisi 4-6-5-5","24,28,21,20",
12,4,essay,practice,Sebuah taman berbentuk persegi memiliki luas 81 m². Berapa kelilingnya?,,,,36 m,,,,,,,,,,,,,
12,5,essay,practice,Dua persegi panjang memiliki keliling sama 40 cm. Persegi panjang A berukuran 6x14. Tentukan ukuran persegi panjang B yang berbeda tetapi tetap berkeliling 40 cm.,,,,8x12 (contoh),,,,,,,,,,,,,
12,6,mcq,practice,"Jika keliling persegi 64 cm, luasnya adalah...",,,,C,,,128 cm²,144 cm²,256 cm²,196 cm²,,,,,,,
12,7,essay,practice,"Sebuah kebun berbentuk persegi panjang 15 m x 8 m. Jika dibuat pagar di sekelilingnya, berapa meter pagar dibutuhkan?",,,,46 m,,,,,,,,,,,,,
12,8,multipart,practice,Hitung keliling.,,,,,,,,,,,,,,,,,a|Persegi sisi 9 cm|36 cm;b|Persegi panjang 7 cm x 11 cm|36 cm
12,9,essay,practice,Sebuah persegi panjang memiliki luas 96 cm² dan lebar 8 cm. Berapa kelilingnya?,,,,32 cm,,,,,,,,,,,,,
12,10,drag_drop,practice,Pasangkan bangun majemuk dengan cara membaginya.,,,TODO_IMG_MAJEMUK_BAGI.png,,,,,,,,,,,,bentuk A;bentuk B;bentuk C,"bagi jadi 2 persegi panjang,bagi jadi 3 persegi panjang,bagi jadi 2 persegi panjang + 1 persegi",
12,11,essay,practice,"Sebuah persegi panjang dan persegi memiliki keliling sama 36 cm. Jika sisi persegi 9 cm, berapa ukuran persegi panjang yang mungkin?",,,,8x10 (contoh),,,,,,,,,,,,,
12,12,mcq,practice,Panjang dan lebar persegi panjang berturut-turut 12 cm dan 5 cm. Kelilingnya...,,,,A,,,34 cm,30 cm,28 cm,24 cm,,,,,,,
12,13,essay,practice,Gambar bangun majemuk terdiri dari 2 persegi panjang: 10x4 dan 6x4 yang menempel. Berapa kelilingnya?,,,,32 cm,,,,,,,,,,,,,
12,14,multipart,practice,Hitung luas.,,,,,,,,,,,,,,,,,a|Persegi sisi 12 cm|144 cm²;b|Persegi panjang 9x7 cm|63 cm²
12,15,essay,practice,Sebuah lahan berbentuk L terdiri dari 2 persegi panjang 8x4 dan 6x3. Berapa luas total?,,,,50 m²,,,,,,,,,,,,,
12,16,drag_drop,practice,Pasangkan bangun dengan luasnya.,,,TODO_IMG_LUAS_SET_01.png,,,,,,,,,,,,persegi sisi 5;persegi panjang 6x9;persegi panjang 4x7;persegi sisi 8,"25,54,28,64",
12,17,essay,practice,"Persegi panjang luasnya 150 cm². Jika panjang 15 cm, lebar?",,,,10 cm,,,,,,,,,,,,,
