material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
67,1,essay,practice,Dua meja ditutup 8 kertas besar atau 16 kertas kecil. Apa kesimpulan tentang luas meja?,,,,luas sama; satuan berbeda,,,,,,,,,,,,,
67,2,essay,practice,"Jika 1 kotak = 1 cm2 dan ada 15 kotak diarsir, luasnya adalah...",,,,15 cm2,,,,,,,,,,,,,
67,3,drag_drop,practice,Pasangkan benda dengan satuan luas yang tepat.,,,,,,,,,,,,,,,buku tulis;lantai kelas;stiker kecil;lapangan sekolah,"cm2,m2,cm2,m2",
67,4,multipart,practice,Hitung luas bangun pada gambar.,,,TODO_IMG_AREA_GRID_A.png,,,,,,,,,,,,,,a|Luas bangun A|13;b|Luas bangun B|11
67,5,essay,practice,3 m2 sama dengan ... cm2.,,,,30000,,,,,,,,,,,,,
67,6,essay,practice,2.500 cm2 sama dengan ... m2.,,,,0.25,,,,,,,,,,,,,
67,7,drag_drop,practice,Pasangkan konversi luas yang benar.,,,,,,,,,,,,,,,1 m2;2 m2;5000 cm2;12000 cm2,"10000 cm2,20000 cm2,0.5 m2,1.2 m2",
67,8,essay,practice,Dua bangun ditutup 13 persegi satuan. Apa hubungan luasnya?,,,,luas sama,,,,,,,,,,,,,
67,9,multipart,practice,Persegi panjang 6 cm x 4 cm.,,,,,,,,,,,,,,,,,"a|Luas|24 cm2;b|Jika menjadi 6 cm x 8 cm, luas|48 cm2"
67,10,essay,practice,Mengapa satuan tidak baku harus seragam saat mengukur luas?,,,,agar hasil pengukuran konsisten,,,,,,,,,,,,,
67,11,mcq,practice,Luas persegi panjang 3 cm x 5 cm adalah...,,,,A,,,15 cm2,8 cm2,10 cm2,20 cm2,,,,,,,
67,12,drag_drop,practice,Tentukan benar atau salah.,,,,,,,,,,,,,,,"1 m2 = 10000 cm2;1 cm2 lebih besar dari 1 m2;Mengukur luas harus menutup tanpa celah;Jika ubin lebih besar, jumlah ubin lebih banyak","benar,salah,benar,salah",
67,13,essay,practice,Lantai tertutup 20 ubin ukuran 20 cm x 20 cm. Berapa luas lantai dalam cm2?,,,,8000,,,,,,,,,,,,,
67,14,mcq,practice,Luas persegi 7 cm x 7 cm adalah...,,,,B,,,42 cm2,49 cm2,35 cm2,56 cm2,,,,,,,
67,15,multipart,practice,Konversi satuan luas berikut.,,,,,,,,,,,,,,,,,a|0.75 m2 = ... cm2|7500;b|12000 cm2 = ... m2|1.2
67,16,essay,practice,"Bangun A luas 15 satuan, bangun B luas 12 satuan. Mana lebih luas?",,,,bangun A,,,,,,,,,,,,,
67,17,drag_drop,practice,Pasangkan ukuran persegi panjang dengan luasnya.,,,,,,,,,,,,,,,6x4;5x5;8x3;7x2,"24,25,24,14",
67,18,essay,practice,Satuan baku luas yang tepat untuk buku tulis adalah...,,,,cm2,,,,,,,,,,,,,
67,19,mcq,practice,Yang termasuk satuan tidak baku untuk mengukur luas adalah...,,,,C,,,cm2,m2,kertas origami,km2,,,,,,,
67,20,essay,practice,100 cm2 sama dengan ... m2.,,,,0.01,,,,,,,,,,,,,
67,21,essay,practice,Botol diisi 5 gelas kecil atau 3 gelas besar hingga penuh. Apa kesimpulan tentang volumenya?,,,,volume sama; satuan berbeda,,,,,,,,,,,,,
67,22,mcq,practice,1 liter sama dengan ... ml.,,,,A,,,1000,100,10,10000,,,,,,,
67,23,multipart,practice,Hitung volume bangun dari kubus satuan.,,,TODO_IMG_VOLUME_CUBES_A.png,,,,,,,,,,,,,,a|Jumlah kubus|12;b|Volume|12 cm3
67,24,essay,practice,Satuan volume yang tepat untuk ember besar adalah...,,,,liter,,,,,,,,,,,,,
67,25,essay,practice,2 liter 450 ml sama dengan ... ml.,,,,2450,,,,,,,,,,,,,
67,26,essay,practice,3.500 ml sama dengan ... liter.,,,,3.5,,,,,,,,,,,,,
67,27,drag_drop,practice,Pasangkan konversi volume yang benar.,,,,,,,,,,,,,,,1.5 l;750 ml;2.25 l;1250 ml,"1500 ml,0.75 l,2250 ml,1.25 l",
