"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"48","1","essay","practice","Untuk 1 paket minuman diperlukan 3/4 kg gula. Jika dibuat 6 paket dan 1/3 dari total gula dipakai hari ini, berapa kg gula yang tersisa?","","","","3","","","","","","","","","","","","",""
"48","2","pilihan_ganda","practice","Tali 5 m dipotong-potong masing-masing 2/3 m. Banyak potongan penuh yang bisa dibuat adalah ...","","","","C","","","6","6,5","7","8","","","","","","",""
"48","3","multiple","practice","Pilih semua pernyataan yang benar.","","","","A,C","","","0,5 = 0,50","3/4 lebih kecil dari 0,7","2 : 1/4 = 8","4 x 3/5 = 12/20","","","","","","",""
"48","4","essay","practice","Lahan 3/5 ha ditanami, lalu 2/3 bagiannya disiram. Berapa ha bagian yang disiram?","","","","2/5","","","","","","","","","","","","",""
"48","5","pilihan_ganda","practice","Bilangan yang lebih besar adalah ...","","","","B","","","2,49","2,9","sama besar","tidak dapat dibandingkan","","","","","","",""
"48","6","essay","practice","Pita 2 1/2 m dipakai 0,75 m untuk hiasan A dan 3/5 m untuk hiasan B. Berapa sisa pita (meter)?","","","","1,15","","","","","","","","","","","","",""
"48","7","multiple","practice","Pilih semua yang setara dengan 0,125.","","","","A,B,C","","","1/8","12,5/100","5/40","1/4","","","","","","",""
"48","8","pilihan_ganda","practice","Air 3 liter akan dimasukkan ke gelas 3/8 liter. Banyak gelas penuh yang terisi adalah ...","","","","D","","","6","7","7,5","8","","","","","","",""
"48","9","essay","practice","Di kelas ada 45 siswa. Sebanyak 4/9 ikut musik. Dari peserta musik, 3/5 juga ikut melukis. Berapa siswa yang hanya ikut musik?","","","","8","","","","","","","","","","","","",""
"48","10","pilihan_ganda","practice","Harga buku Rp120.000 mendapat diskon 1/4 lalu tambahan diskon Rp6.000. Harga akhir adalah ...","","","","A","","","Rp84.000","Rp90.000","Rp96.000","Rp78.000","","","","","","",""
"48","11","essay","practice","Urutkan dari terbesar ke terkecil: 0,705 ; 0,75 ; 7/10 ; 0,695.","","","","0,75 > 0,705 > 0,7 > 0,695","","","","","","","","","","","","",""
"48","12","pilihan_ganda","practice","Nilai dari 3 x 5/8 + 1/4 adalah ...","","","","C","","","13/8","7/8","17/8","15/8","","","","","","",""
"48","13","multiple","practice","Pilih semua hasil yang bernilai lebih dari 1.","","","","B,C,D","","","2/3 x 3/4","5/4","3 : 1/2","7/8 + 3/8","","","","","","",""
"48","14","essay","practice","Sebuah bak 2 m³ terisi 0,65 bagian. Berapa m³ volume air di dalam bak?","","","","1,3","","","","","","","","","","","","",""
"48","15","pilihan_ganda","practice","Jika 2/5 = 0,4, maka 4/25 sama dengan ...","","","","B","","","0,04","0,16","0,25","0,2","","","","","","",""
"48","16","essay","practice","Ibu punya 4 1/2 liter sirup. Tiap botol kecil berisi 3/10 liter. Berapa botol kecil penuh yang dapat diisi?","","","","15","","","","","","","","","","","","",""
"48","17","pilihan_ganda","practice","Pernyataan yang benar adalah ...","","","","D","","","0,36 paling sederhana = 36/100","3/20 = 0,3","0,08 = 8/10","0,36 = 9/25","","","","","","",""
"48","18","essay","practice","Luas taman 2 1/4 m². Sebesar 2/3 bagian ditanami bunga merah. Berapa m² luas bunga merah?","","","","1,5","","","","","","","","","","","","",""
"48","19","multiple","practice","Pilih semua yang setara dengan 3/5.","","","","A,C","","","0,6","0,06","30/50","3/50","","","","","","",""
"48","20","pilihan_ganda","practice","Hasil dari 5 : 2/3 adalah ...","","","","B","","","6 1/2","7 1/2","8","7","","","","","","",""
"48","21","essay","practice","Dari 1 meter kain, 0,35 m dipakai baju A dan 1/4 m untuk baju B. Berapa meter kain tersisa?","","","","0,4","","","","","","","","","","","","",""
"48","22","pilihan_ganda","practice","Mana yang lebih besar?","","","","A","","","7/8","0,86","sama besar","tidak bisa dibandingkan","","","","","","",""
"48","23","essay","practice","Seorang penulis menulis 1.200 kata per jam. Dalam 3/4 jam ia menulis berapa kata?","","","","900","","","","","","","","","","","","",""
"48","24","multiple","practice","Pilih semua operasi yang hasilnya 0,75.","","","","A,B,D","","","1/2 + 1/4","3/4","3/10 + 3/10","3 : 4","","","","","","",""
"48","25","pilihan_ganda","practice","Nilai 2,49 + 0,51 - 3/5 adalah ...","","","","C","","","2,0","2,2","2,4","2,6","","","","","","",""
"48","26","essay","practice","Di toples ada 3 liter jus. Jika setiap gelas berisi 0,2 liter, berapa gelas penuh yang dapat diisi?","","","","15","","","","","","","","","","","","",""
"48","27","pilihan_ganda","practice","Dari bilangan berikut, yang paling kecil adalah ...","","","","B","","","0,303","0,03","0,3","0,033","","","","","","",""
"48","28","essay","practice","Seutas tali 6 m dipotong masing-masing 1/8 m. Berapa banyak potongan yang dihasilkan?","","","","48","","","","","","","","","","","","",""
"48","29","multiple","practice","Pilih semua pernyataan yang benar tentang membandingkan desimal.","","","","A,C,D","","","2,9 = 2,90","2,49 > 2,9","0,5 = 0,50","Untuk membandingkan, nilai tempat harus diperhatikan","","","","","","",""
"48","30","pilihan_ganda","practice","Harga 1 kotak pena Rp36.000 berisi 15 pena. Harga 1 pena adalah ...","","","","A","","","Rp2.400","Rp2.500","Rp2.600","Rp2.300","","","","","","",""
"48","31","essay","practice","Jika harga 1 pena Rp2.400, berapa biaya untuk 9 pena?","","","","21600","","","","","","","","","","","","",""
