"no","type","question","option_a","option_b","option_c","option_d","answer"
"1","mcq","Di Kepulauan Riau terdapat 364 desa tepi laut dan 64 desa bukan tepi laut. Jika dipilih satu desa acak, peluang terpilih desa tepi laut adalah ...","64/428","364/428","364/64","1/2","B"
"2","mcq","Perbandingan rumah tangga dengan bahan bakar kayu dan bukan kayu adalah 7:3. Peluang memilih rumah tangga yang bahan bakar utamanya bukan kayu adalah ...","3/10","7/10","3/7","7/3","A"
"3","mcq","Data penerbangan Medan-Palembang: (Perlu lapor ulang: tidak transit 0, transit Batam 6, transit Jakarta 28) dan (Tidak perlu: tidak transit 1, transit Batam 1, transit Jakarta 18). Peluang memilih penerbangan yang transit di Batam adalah ...","1/6","7/54","6/54","1/54","B"
"4","mcq","Pada data yang sama, jika dipilih acak satu penerbangan yang transit di Jakarta, peluang penerbangan tersebut perlu lapor ulang adalah ...","28/54","28/46","18/46","6/46","B"
"5","mcq","Jenis tiket Bandung-Surabaya: Eksekutif siang 5, eksekutif malam 10, ekonomi siang 0, ekonomi malam 5. Peluang tiket yang dipilih acak adalah tiket malam ialah ...","1/4","1/2","3/4","4/5","C"
"6","mcq","Dari tabel tiket yang sama, peluang memilih tiket siang kelas eksekutif adalah ...","1/4","1/5","5/15","1/2","A"
"7","mcq","Abel mencatat 20 harga laptop (juta rupiah): 4.699, 9.499, 2.899, 2.1, 8.85, 8.299, 5.99, 4.449, 2.98, 2.375, 4.529, 4.6, 10.64, 8.199, 11.199, 4.199, 3.15, 15.699, 3.825, 8.699. Frekuensi relatif harga yang <= 5 juta adalah ...","9/20","10/20","11/20","12/20","C"
"8","mcq","Sebuah dadu dilempar 60 kali. Frekuensi harapan muncul mata dadu kurang dari 5 adalah ...","20","30","40","50","C"
"9","mcq","Roda putar bernomor 1 sampai 8 diputar 100 kali. Frekuensi harapan muncul bilangan prima adalah ...","37.5","50","62.5","75","B"
"10","mcq","Dalam pelemparan 3 koin, peluang muncul paling banyak satu sisi gambar adalah ...","1/8","3/8","1/2","5/8","C"
"11","mcq","Dari kartu bernomor 1 sampai 5 diambil 2 kartu sekaligus. Peluang jumlah nomor kedua kartu sama dengan 6 adalah ...","1/5","2/5","3/10","1/2","B"
"12","mcq","Sebuah kejadian A memiliki peluang 0.37. Peluang komplemen A adalah ...","0.27","0.53","0.63","0.73","C"
"13","mcq","Sebuah kotak berisi 25 bola merah. Jika diambil satu bola acak, kejadian mendapat bola merah termasuk ...","mustahil","mungkin","hampir mustahil","pasti","D"
"14","mcq","Jika suatu kejadian memiliki peluang nol, maka kejadian itu disebut ...","kejadian acak","kejadian pasti","kejadian mustahil","kejadian komplemen","C"
