"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"50","1","essay","practice","Sebuah bangun tersusun dari 3 lapisan: lapis bawah 3x2 kubus, lapis tengah 2x2 kubus, lapis atas 2 kubus. Berapa jumlah kubus seluruhnya?","","","","12","","","","","","","","","","","","",""
"50","2","pilihan_ganda","practice","Susunan A dan B memiliki tinggi kolom sama (2,1,2), tetapi Susunan B diputar 180 derajat. Kesimpulan yang tepat adalah ...","","","","A","","","Kedua susunan sama, hanya berbeda orientasi","Kedua susunan pasti berbeda","Tidak bisa dibandingkan tanpa menghitung volume","Susunan B memiliki lebih banyak kubus","","","","","","",""
"50","3","multiple","practice","Pilih semua informasi yang paling kuat untuk memastikan bentuk bangun ruang secara unik.","","","","B,C","","","Tampak atas saja","Tampak depan dan tampak atas","Tampak depan, kanan, dan atas","Jumlah kubus total saja","","","","","","",""
"50","4","essay","practice","Suatu susunan memiliki 2 lapis: lapis bawah 5 kubus dan lapis atas 3 kubus (semua tepat di atas lapis bawah). Berapa total kubus?","","","","8","","","","","","","","","","","","",""
"50","5","pilihan_ganda","practice","Ada 12 kubus identik yang akan disusun dengan tinggi maksimal 3 lapis. Banyak petak lantai minimum yang dibutuhkan adalah ...","","","","B","","","3","4","5","6","","","","","","",""
"50","6","essay","practice","Bangun berbentuk huruf L pada lapis bawah terdiri dari 4 kubus. Di atas dua kubus sudut, masing-masing ditambah 1 kubus. Berapa total kubus?","","","","6","","","","","","","","","","","","",""
"50","7","multiple","practice","Pilih semua pernyataan yang benar tentang konstruksi kubus/balok.","","","","A,C","","","Menghitung per lapis membantu mencegah kubus terlewat","Jumlah kubus sama selalu berarti bentuk sama","Satu tampak saja belum cukup memastikan bentuk","Memutar bangun mengubah jumlah kubus","","","","","","",""
"50","8","pilihan_ganda","practice","Dua balok identik dapat disusun menjadi bentuk berbeda. Jika perbedaan hanya karena diputar dianggap sama, banyak bentuk dasar dari 2 balok adalah ...","","","","B","","","1","2","3","4","","","","","","",""
"50","9","essay","practice","Lapis bawah susunan adalah kisi 3x3 penuh, lalu lapis atas hanya 1 kubus di tengah. Berapa jumlah kubus penyusun?","","","","10","","","","","","","","","","","","",""
"50","10","pilihan_ganda","practice","Tersedia 18 kubus dan tinggi susunan dibatasi paling banyak 3 lapis. Luas lantai minimum (dalam petak kubus) adalah ...","","","","A","","","6","7","8","9","","","","","","",""
"50","11","essay","practice","Tampak depan menunjukkan tinggi kolom berturut-turut 2, 1, dan 3. Jika setiap kolom memiliki kedalaman minimal 1, berapa jumlah kubus minimum yang mungkin?","","Catatan gambar: dapat ditambahkan diagram tinggi kolom.","/images/kelas6-kubus-balok/q11-tampak-depan-2-1-3.png","6","","","","","","","","","","","","",""
"50","12","pilihan_ganda","practice","Tampak atas menunjukkan tepat 5 petak terisi. Jumlah kubus minimum yang mungkin adalah ...","","","","C","","","3","4","5","6","","","","","","",""
"50","13","multiple","practice","Sebuah bangun memiliki 4 petak pada tampak atas. Tinggi tiap petak minimal 1 dan maksimal 3 kubus. Pilih semua jumlah kubus yang mungkin.","","","","B,C","","","3","4","10","13","","","","","","",""
"50","14","essay","practice","Tampak atas berbentuk L dengan 4 petak. Dua petak tingginya 2 kubus dan dua petak tingginya 1 kubus. Berapa total kubus?","","","","6","","","","","","","","","","","","",""
"50","15","pilihan_ganda","practice","Tampak depan memiliki dua kolom dengan tinggi 3 dan 1. Tampak atas menunjukkan ada tepat 3 petak terisi: dua petak pada kolom tinggi 3 dan satu petak pada kolom tinggi 1. Jumlah kubus minimum adalah ...","","Catatan gambar: gunakan grid 2 kolom untuk memvisualkan petak.","/images/kelas6-kubus-balok/q15-tampak-depan-atas.png","B","","","4","5","6","7","","","","","","",""
