material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
92,1,mcq,practice,,Pernyataan berikut yang merupakan kalimat tertutup adalah ...,,,Indonesia memiliki 34 provinsi,,,Indonesia memiliki 34 provinsi,x + 5 = 12,y adalah bilangan prima lebih dari 10,p + 28 = 40,,,,,,,
92,2,essay,practice,,"Ubah kalimat: 'Jumlah suatu bilangan dan 9 adalah 25' menjadi persamaan, lalu tentukan nilai bilangannya.",,,x+9=25; x=16,,,,,,,,,,,,,
92,3,mcq,practice,,Kalimat '2x + 3 > 11' termasuk ...,,,pertidaksamaan linier satu variabel,,,pertidaksamaan linier satu variabel,persamaan linier dua variabel,persamaan kuadrat,kalimat tertutup,,,,,,,
92,4,essay,practice,,Tentukan himpunan penyelesaian persamaan 3x - 5 = 16.,,,x=7; HP={7},,,,,,,,,,,,,
92,5,mcq,practice,,Jika 4 + b > 10 maka nilai b paling kecil adalah ...,,,7,,,7,6,5,8,,,,,,,
92,6,essay,practice,,Tentukan HP dari pertidaksamaan 2x + 1 ≤ 9 pada bilangan bulat.,,,"x ≤ 4; HP={...,0,1,2,3,4}",,,,,,,,,,,,,
92,7,mcq,practice,,Manakah persamaan linier satu variabel?,,,5p - 3 = 12,,,5p - 3 = 12,x^2 + 2 = 5,2x + y = 7,ab + 3 = 0,,,,,,,
92,8,essay,practice,,Dari kalimat 'Selisih suatu bilangan dan 5 adalah 4' buat persamaan dan tentukan nilainya.,,,x-5=4; x=9,,,,,,,,,,,,,
92,9,mcq,practice,,"Jika -2x > 8, maka x ...",,,< -4,,,< -4,> -4,> 4,< 4,,,,,,,
92,10,essay,practice,,Selesaikan pertidaksamaan -3x + 6 ≥ 0 dan tulis dalam interval.,,,"x ≤ 2; (-∞,2]",,,,,,,,,,,,,
92,11,mcq,practice,,Kalimat 'paling sedikit 350' dapat dimodelkan dengan ...,,,x ≥ 350,,,x ≥ 350,x ≤ 350,x > 350,x < 350,,,,,,,
92,12,essay,practice,,Ubah kalimat 'Dua kali bilangan y lebih dari 3' menjadi pertidaksamaan.,,,2y > 3,,,,,,,,,,,,,
92,13,mcq,practice,,"Jika 5x - 20 = 0, maka x = ...",,,4,,,4,5,2,-4,,,,,,,
92,14,essay,practice,,Selesaikan persamaan 2(3x-1) = 4x + 10.,,,x=3,,,,,,,,,,,,,
92,15,mcq,practice,,Himpunan penyelesaian dari x+4 = 20 pada bilangan asli adalah ...,,,{16},,,{16},{4},{20},∅,,,,,,,
92,16,essay,practice,,Tentukan HP dari 6 < 2x + 4 < 14 pada bilangan bulat.,,,"1 < x < 5; HP={2,3,4}",,,,,,,,,,,,,
92,17,mcq,practice,,"Jika a = 3 memenuhi 2a + 1 ≥ 7, maka pernyataan ...",,,benar,,,benar,salah,tidak dapat ditentukan,bukan pertidaksamaan,,,,,,,
92,18,essay,practice,,Harga tiket anak = x. Harga tiket dewasa = 2x. Total 3 anak dan 2 dewasa membayar 160.000. Tentukan x.,,,x=20.000,,,,,,,,,,,,,
92,19,mcq,practice,,Garis bilangan dengan titik penuh di 5 dan arsiran ke kanan menyatakan ...,,,x ≥ 5,,,x ≥ 5,x > 5,x ≤ 5,x < 5,,,,,,,
92,20,essay,practice,,Ubah kalimat 'Uang Dina tidak lebih dari 75 ribu' menjadi pertidaksamaan.,,,x ≤ 75.000,,,,,,,,,,,,,
92,21,mcq,practice,,"Jika 3(x-2) = 2x + 7, maka x = ...",,,13,,,13,11,9,5,,,,,,,
92,22,essay,practice,,Selesaikan pertidaksamaan 4 - (x-3) > 2x.,,,x < 7/3,,,,,,,,,,,,,
92,23,mcq,practice,,Kalimat 'x adalah bilangan genap kurang dari 10' termasuk ...,,,kalimat terbuka,,,kalimat terbuka,kalimat tertutup,pertidaksamaan,persamaan,,,,,,,
92,24,essay,practice,,Tentukan HP dari x + 7 = 9 pada bilangan asli.,,,{2},,,,,,,,,,,,,
92,25,mcq,practice,,"Jika 2x + 5 ≤ 17, maka nilai maksimum x pada bilangan bulat adalah ...",,,6,,,6,5,7,8,,,,,,,
92,26,essay,practice,,Modelkan: 'Keliling segitiga sama sisi 24 cm' menjadi persamaan dan tentukan sisi.,,,3s=24; s=8,,,,,,,,,,,,,
92,27,mcq,practice,,Persamaan yang ekuivalen dengan 2x - 4 = 10 adalah ...,,,x - 2 = 5,,,x - 2 = 5,2x + 4 = 10,x + 2 = 5,x - 4 = 10,,,,,,,
92,28,essay,practice,,Selesaikan pertidaksamaan 5 - 2x ≤ 1.,,,x ≥ 2,,,,,,,,,,,,,
92,29,mcq,practice,,"Jika -4x ≤ 12, maka x ...",,,≥ -3,,,>= -3,> -3,≤ -3,< -3,,,,,,,
92,30,essay,practice,,Ubah kalimat: 'Tiga kali bilangan dikurangi 7 sama dengan 11' menjadi persamaan dan tentukan bilangan.,,,3x-7=11; x=6,,,,,,,,,,,,,
92,31,mcq,practice,,Manakah yang merupakan bentuk umum PLSV?,,,ax + b = c,,,ax + b = c,ax^2 + b = c,ax + by = c,a/b = x,,,,,,,
92,32,essay,practice,,Selesaikan 7x - 3 = 4x + 18.,,,x=7,,,,,,,,,,,,,
92,33,mcq,practice,,"Jika x adalah bilangan asli dan x+3<8, maka x dapat bernilai ...",,,"1,2,3,4",,,"1,2,3,4","2,3,4,5","0,1,2","3,4,5",,,,,,,
92,34,essay,practice,,Tentukan nilai minimal x agar 5x + 20 ≥ 120.,,,x ≥ 20,,,,,,,,,,,,,
92,35,mcq,practice,,"Jika x = -5, nilai 2x + 1 adalah ...",,,-9,,,-9,-11,9,11,,,,,,,
92,36,essay,practice,,Selesaikan pertidaksamaan 2(1-x) > x + 5.,,,x < -1,,,,,,,,,,,,,
92,37,mcq,practice,,Kalimat 'x + 4 = 20' disebut kalimat terbuka karena ...,,,nilai x belum diketahui,,,nilai x belum diketahui,selalu benar,selalu salah,memuat tanda <,,,,,,,
92,38,essay,practice,,Modelkan situasi: 'Bus hanya memuat paling banyak 45 penumpang' sebagai pertidaksamaan.,,,x ≤ 45,,,,,,,,,,,,,
92,39,mcq,practice,,Jika 9 + p = 40 maka p = ...,,,31,,,31,49,29,32,,,,,,,
92,40,essay,practice,,"Rata-rata 5 tes harus ≥ 90. Empat nilai: 97, 82, 89, 99. Tentukan nilai minimal tes ke-5.",,,83,,,,,,,,,,,,,
