material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
96,1,mcq,practice,,SPLDV memiliki satu solusi jika grafik kedua persamaan ...,,,berpotongan di satu titik,,,berpotongan di satu titik,sejajar,berimpit,tidak dapat ditentukan,,,,,,,
96,2,essay,practice,,Tentukan himpunan penyelesaian SPLDV: 2x + y = 8 dan x - y = 1.,,,"x=3, y=2",,,,,,,,,,,,,
96,3,mcq,practice,,SPLDV tidak memiliki solusi jika garisnya ...,,,sejajar,,,sejajar,berpotongan,berimpit,tegak lurus,,,,,,,
96,4,essay,practice,,Selesaikan SPLDV: 3x + 2y = 18 dan x + 2y = 10.,,,"x=4, y=3",,,,,,,,,,,,,
96,5,mcq,practice,,Metode eliminasi dilakukan dengan ...,,,menghilangkan salah satu variabel,,,menghilangkan salah satu variabel,menggambar grafik,mengganti variabel,mengurutkan data,,,,,,,
96,6,essay,practice,,Selesaikan SPLDV: 4x - y = 11 dan 2x + y = 5.,,,"x=4, y=3",,,,,,,,,,,,,
96,7,mcq,practice,,"Jika dua persamaan setara (berimpit), maka solusi SPLDV ...",,,tak hingga,,,tak hingga,satu,tidak ada,dua,,,,,,,
96,8,essay,practice,,"Harga 2 buku dan 3 pulpen Rp18.000, harga 1 buku dan 2 pulpen Rp11.000. Tentukan harga buku dan pulpen.",,,"buku=5.000, pulpen=3.000",,,,,,,,,,,,,
96,9,mcq,practice,,Metode substitusi dilakukan dengan ...,,,menyatakan satu variabel dalam variabel lain,,,menyatakan satu variabel dalam variabel lain,menggambar grafik,menghilangkan variabel,membagi kedua ruas,,,,,,,
96,10,essay,practice,,Selesaikan SPLDV: x + y = 12 dan 2x - y = 3.,,,"x=5, y=7",,,,,,,,,,,,,
96,11,mcq,practice,,SPLDV berikut yang memiliki satu solusi adalah ...,,,x+y=5 dan x-y=1,,,x+y=5 dan x-y=1,2x+2y=4 dan x+y=2,x+y=3 dan x+y=5,y=2x dan y=2x+1,,,,,,,
