material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
2,1,essay,practice,Hitung 50.000 - 19.999.,,,,30.001,,,,,,,,,,,,,
2,2,drag_drop,practice,Pasangkan operasi dengan hasilnya.,,,,,,,,,,,,,,,25.600+14.300;60.000-17.500;8.000x6,"39.900,42.500,48.000",
2,3,essay,practice,Tulis bentuk penjumlahan nilai tempat dari 70.040.,,,,70.000+40,,,,,,,,,,,,,
2,4,essay,practice,Tulis bilangan dari 40.000 + 3.000 + 20 + 5.,,,,43.025,,,,,,,,,,,,,
2,5,mcq,practice,Bilangan terbesar adalah...,,,,98.765,,Bandingkan digit dari tempat puluh ribuan.,98.756,98.765,89.765,97.865,,,,,,,
2,6,mcq,practice,Hasil 36.500 + 12.300 adalah...,,,,48.800,,,48.700,48.800,49.800,47.800,,,,,,,
2,7,essay,practice,"Bandingkan: 99.999 ... 100.000 (>,<,=)",,,,<,,,,,,,,,,,,,
2,8,mcq,practice,Nilai tempat angka 6 pada bilangan 46.812 adalah...,,,,6000,,,60,600,6000,60.000,,,,,,,
2,9,essay,practice,Tuliskan nilai tempat angka 8 pada 18.905.,,,,8000,,,,,,,,,,,,,
2,10,essay,practice,Ibu membeli beras 23.450 gram dan gula 12.700 gram. Berapa total gram belanjaan?,,,,36.150,,,,,,,,,,,,,
2,11,drag_drop,practice,Pasangkan bilangan dengan bentuk penjumlahan nilai tempatnya.,,,,,,,,,,,,,,,34.215;50.607;81.090,"30.000+4.000+200+10+5,50.000+600+7,80.000+1.000+90",
2,12,essay,practice,Tuliskan bilangan dari 6x10.000 + 2x1.000 + 3x100 + 5x10 + 4.,,,,62.354,,,,,,,,,,,,,
2,13,mcq,practice,Urutan bilangan dari terkecil ke terbesar adalah...,,,,12.450 < 12.504 < 12.540,,,12.504 < 12.450 < 12.540,12.450 < 12.540 < 12.504,12.540 < 12.504 < 12.450,12.450 < 12.504 < 12.540,,,,,,,
2,14,drag_drop,practice,Pasangkan bilangan dengan urutan yang benar.,,,,,,,,,,,,,,,34.120;34.210;34.021,"terkecil,tengah,terbesar",
2,15,essay,practice,"Di toko buku, total pengunjung hari ini tertulis 'tujuh puluh dua ribu seratus empat belas'. Tuliskan dalam angka.",,,TODO_IMG_TOKO.png,72.114,,,,,,,,,,,,,
2,16,essay,practice,"Toko memiliki stok 75.000 unit, terjual 28.350 unit. Berapa sisa stok?",,,TODO_IMG_TOKO.png,46.650,,,,,,,,,,,,,
2,17,essay,practice,"Dalam 1 hari, toko menjual 9.000 item. Berapa total item dalam 7 hari?",,,TODO_IMG_TOKO.png,63.000,,,,,,,,,,,,,
2,18,essay,practice,Tuliskan bilangan terbesar dari 65.908 dan 65.980.,,,,65.980,,,,,,,,,,,,,
