material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
97,1,mcq,practice,,Bangun ruang sisi lengkung yang memiliki dua alas berbentuk lingkaran adalah ...,,,tabung,,,tabung,kerucut,bola,limas,,,,,,,
97,2,essay,practice,,Sebuah kubus memiliki rusuk 6 cm. Tentukan luas permukaan dan volumenya.,,,"LP=216 cm2, V=216 cm3",,,,,,,,,,,,,
97,3,mcq,practice,,Rumus luas permukaan balok adalah ...,,,2(pl+pt+lt),,,2(pl+pt+lt),pl+pt+lt,6s^2,2πr(r+t),,,,,,,
97,4,essay,practice,,"Balok memiliki p=8 cm, l=5 cm, t=3 cm. Hitung luas permukaan dan volume.",,,"LP=2(40+24+15)=158 cm2, V=120 cm3",,,,,,,,,,,,,
97,5,mcq,practice,,Volume prisma adalah ...,,,L_alas × t,,,L_alas × t,1/3 L_alas × t,πr^2t,4/3 πr^3,,,,,,,
97,6,essay,practice,,"Prisma segitiga memiliki alas segitiga siku-siku dengan sisi siku 6 cm dan 8 cm, tinggi prisma 10 cm. Hitung volumenya.",,,"L_alas=24, V=240 cm3",,,,,,,,,,,,,
97,7,mcq,practice,,Rumus volume limas adalah ...,,,1/3 L_alas × t,,,1/3 L_alas × t,L_alas × t,2L_alas,πr^2t,,,,,,,
97,8,essay,practice,,Limas segi empat beraturan memiliki alas persegi sisi 6 cm dan tinggi 9 cm. Hitung volumenya.,,,V=1/3×36×9=108 cm3,,,,,,,,,,,,,
97,9,mcq,practice,,Rumus luas permukaan tabung adalah ...,,,2πr^2+2πrt,,,2πr^2+2πrt,πr^2t,2πr(r+t),4πr^2,,,,,,,
97,10,essay,practice,,Tabung berjari-jari 7 cm dan tinggi 10 cm. Hitung luas permukaan dan volume. (π=22/7),,,LP=2πr^2+2πrt=2*22/7*49+2*22/7*70=308+440=748 cm2; V=πr^2t=1540 cm3,,,,,,,,,,,,,
97,11,mcq,practice,,Rumus volume kerucut adalah ...,,,1/3 πr^2t,,,1/3 πr^2t,πr^2t,2πr(r+t),4/3 πr^3,,,,,,,
97,12,essay,practice,,"Kerucut berjari-jari 6 cm dan tinggi 9 cm. Hitung volumenya (π=3,14).",,,V=1/3×3.14×36×9=339.12 cm3,,,,,,,,,,,,,
97,13,mcq,practice,,Rumus luas permukaan bola adalah ...,,,4πr^2,,,4πr^2,2πr^2,πr^2,4/3 πr^3,,,,,,,
97,14,essay,practice,,Bola berjari-jari 7 cm. Hitung luas permukaan dan volumenya (π=22/7).,,,LP=4πr^2=616 cm2; V=4/3πr^3=1437.33 cm3,,,,,,,,,,,,,
97,15,mcq,practice,,"Jika skala panjang bangun ruang diperbesar 3 kali, maka volumenya menjadi ...",,,27 kali,,,27 kali,9 kali,6 kali,3 kali,,,,,,,
97,16,essay,practice,,"Kubus rusuk 4 cm diperbesar skala 1,5. Tentukan perbandingan luas permukaan dan volume.",,,"LP berubah 2.25 kali, V berubah 3.375 kali",,,,,,,,,,,,,
97,17,mcq,practice,,Jaring-jaring yang terdiri dari 6 persegi sama sisi dapat membentuk ...,,,kubus,,,kubus,balok,prisma,limas,,,,,,,
97,18,essay,practice,,Sebuah tabung dipotong menjadi dua sama besar sepanjang tinggi. Bandingkan volume sebelum dan sesudah.,,,Masing-masing 1/2 volume awal,,,,,,,,,,,,,
97,19,mcq,practice,,Luas permukaan kerucut adalah ...,,,πr(r+s),,,πr(r+s),πr^2t,2πr^2,πr^2+2πrt,,,,,,,
97,20,essay,practice,,Kerucut berjari-jari 5 cm dan tinggi 12 cm. Hitung luas permukaan. (s=13),,,LP=πr(r+s)=π*5*18=90π cm2,,,,,,,,,,,,,
97,21,mcq,practice,,Volume tabung dan volume kerucut dengan jari-jari dan tinggi sama memiliki perbandingan ...,,,3:1,,,3:1,1:3,2:1,1:2,,,,,,,
97,22,essay,practice,,"Tabung jari-jari 4 cm dan tinggi 15 cm. Jika diubah menjadi kerucut dengan ukuran sama, bandingkan volumenya.",,,V_tabung : V_kerucut = 3:1,,,,,,,,,,,,,
97,23,mcq,practice,,Volume bola dengan jari-jari r adalah ...,,,4/3 πr^3,,,4/3 πr^3,4πr^2,πr^2t,1/3 πr^2t,,,,,,,
97,24,essay,practice,,"Sebuah bola berdiameter 12 cm. Hitung volumenya. (π=3,14)",,,V=4/3×3.14×216=904.32 cm3,,,,,,,,,,,,,
97,25,mcq,practice,,"Jika skala panjang diperbesar k, maka luas permukaan berubah menjadi ...",,,k^2 kali,,,k^2 kali,k kali,k^3 kali,1/k^2 kali,,,,,,,
97,26,essay,practice,,"Sebuah kubus rusuk 5 cm diperkecil skala 0,4. Tentukan luas permukaan baru.",,,"LP awal=150, LP baru=150×0.16=24 cm2",,,,,,,,,,,,,
97,27,mcq,practice,,"Balok dengan ukuran 2,3,4 memiliki luas permukaan ...",,,52,,,52,24,26,48,,,,,,,
97,28,essay,practice,,Sebuah prisma segiempat dengan alas 6×4 cm dan tinggi 10 cm. Hitung luas permukaannya.,,,LP=2(24)+ (K_alas×t)=48+(20×10)=248 cm2,,,,,,,,,,,,,
97,29,mcq,practice,,"Tabung dengan r=7 cm, t=14 cm memiliki volume ... (π=22/7)",,,2156,,,2156,308,616,1540,,,,,,,
97,30,essay,practice,,"Sebuah limas segiempat alas 10×10 cm, tinggi 12 cm. Hitung volumenya.",,,V=1/3×100×12=400 cm3,,,,,,,,,,,,,
97,31,mcq,practice,,Bangun ruang dengan semua sisi berbentuk persegi dan sama besar disebut ...,,,kubus,,,kubus,balok,prisma,limas,,,,,,,
97,32,essay,practice,,"Sebuah tabung diameter 10 cm, tinggi 12 cm. Hitung luas permukaan. (π=3,14)",,,LP=2πr^2+2πrt=2*3.14*25+2*3.14*60=157+376.8=533.8 cm2,,,,,,,,,,,,,
97,33,mcq,practice,,"Jika volume tabung 540π dan tinggi 9, maka jari-jari adalah ...",,,√60,,,√60,30,20,10,,,,,,,
97,34,essay,practice,,Sebuah kerucut memiliki volume 300π dan jari-jari 5. Tentukan tingginya.,,,t=36,,,,,,,,,,,,,
