"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"60","1","pilihan_ganda","practice","Kalimat matematika dari cerita: ""Andi punya 28 kelereng, Beni punya 17, jumlah bersama ..."" adalah ...","","","","A","","","28 + 17 = ...","28 - 17 = ...","... - 17 = 28","17 - 28 = ...","","","","","","",""
"60","2","essay","practice","Lengkapi: 24 + ... = 57. Jelaskan langkah singkatnya.","","","","33","","","","","","","","","","","","",""
"60","3","multipart","practice","Selesaikan tiga kalimat berikut.","","","","","","","","","","","","","","","","","a|8 + ... = 19|11;b|23 + ... = 45|22;c|... + 36 = 68|32"
"60","4","pilihan_ganda","practice","Berdasarkan model pada gambar, nilai yang hilang pada baris kedua adalah ...","","","/images/math3-bab2-kalimat/q4-model-penjumlahan.png","C","","","19","20","21","22","","","","","","",""
"60","5","essay","practice","Di kelas ada 52 buku bacaan. Sebanyak 19 dipinjam. Tulis kalimat matematika dan tentukan sisa buku.","","","","52 - 19 = 33, sisa 33","","","","","","","","","","","","",""
"60","6","pilihan_ganda","practice","Jika x + 27 = 63, maka x adalah ...","","","","B","","","34","36","37","40","","","","","","",""
"60","7","multipart","practice","Tentukan nilai yang belum diketahui.","","","","","","","","","","","","","","","","","a|45 - ... = 26|19;b|... - 12 = 26|38;c|37 - ... = 24|13"
"60","8","essay","practice","Total tiket terjual 95. Jika tiket perempuan 48, berapa tiket laki-laki?","","","","47","","","","","","","","","","","","",""
"60","9","pilihan_ganda","practice","Kalimat yang tepat untuk ""jumlah permen Rani dan Sinta 60, permen Rani 26"" adalah ...","","","","D","","","26 - ... = 60","... - 26 = 60","60 + 26 = ...","26 + ... = 60","","","","","","",""
"60","10","essay","practice","Selesaikan: ... + 52 = 98.","","","","46","","","","","","","","","","","","",""
"60","11","pilihan_ganda","practice","Jika 83 - x = 38, maka x = ...","","","","A","","","45","35","41","48","","","","","","",""
"60","12","multipart","practice","Gunakan model pengurangan pada gambar.","","","/images/math3-bab2-kalimat/q12-model-pengurangan.png","","","","","","","","","","","","","","a|Baris 1: banyak terjual|35;b|Baris 2: mula-mula|72;c|Baris 3: banyak terjual|36"
"60","13","essay","practice","Pak Budi panen 78 manggis, sisa 42. Berapa manggis yang dibagikan?","","","","36","","","","","","","","","","","","",""
"60","14","pilihan_ganda","practice","Untuk bentuk ... - 45 = 27, nilai ... diperoleh dengan operasi ...","","","","C","","","27 - 45","45 - 27","27 + 45","45 + 45","","","","","","",""
"60","15","essay","practice","Buat satu contoh soal cerita yang modelnya x + 16 = 54, lalu jawab nilainya.","","","","x = 38","","","","","","","","","","","","",""
"60","16","pilihan_ganda","practice","Pernyataan benar tentang kalimat matematika adalah ...","","","","B","","","Nilai hilang selalu dicari dengan penjumlahan","Model operasi harus sesuai cerita","Kalimat matematika tidak perlu dicek balik","Satuan tidak penting","","","","","","",""
"60","17","multipart","practice","Tentukan semua nilai x.","","","","","","","","","","","","","","","","","a|x + 48 = 84|36;b|x - 31 = 19|50;c|67 - x = 25|42"
"60","18","essay","practice","Jumlah dua bilangan 100. Salah satunya 65. Bilangan lainnya berapa?","","","","35","","","","","","","","","","","","",""
"60","19","pilihan_ganda","practice","Jika di perpustakaan total 96 buku dan tersisa 48, maka buku dipinjam ...","","","","D","","","24","36","42","48","","","","","","",""
"60","20","essay","practice","Ubah cerita ini ke kalimat matematika: ""Dari 80 ayam, 45 ayam masih di kandang"".","","","","80 - x = 45","","","","","","","","","","","","",""
"60","21","pilihan_ganda","practice","Dari beberapa kemungkinan pasangan yang jumlahnya 95, pasangan valid adalah ...","","","","A","","","41 dan 54","39 dan 55","52 dan 42","40 dan 54","","","","","","",""
"60","22","multipart","practice","Gunakan tabel pada gambar untuk menjawab.","","","/images/math3-bab2-kalimat/q22-kemungkinan-tiket.png","","","","","","","","","","","","","","a|Jika laki-laki 43, perempuan|52;b|Jika perempuan 51, laki-laki|44;c|Jumlah tiap baris|95"
