"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"51","1","essay","practice","Sebuah koin seimbang dilempar sekali. Berapa banyak kemungkinan hasil?","","","","2","","","","","","","","","","","","",""
"51","2","pilihan_ganda","practice","Skala peluang yang tepat untuk kejadian ""matahari terbit besok"" adalah ...","","","","D","","","tidak mungkin","kurang mungkin","mungkin","pasti","","","","","","",""
"51","3","pilihan_ganda","practice","Skala peluang untuk kejadian ""muncul angka 7 pada dadu 6 sisi"" adalah ...","","","","A","","","tidak mungkin","kurang mungkin","mungkin","sangat mungkin","","","","","","",""
"51","4","essay","practice","Dadu 6 sisi dilempar sekali. Berapa banyak hasil yang termasuk bilangan genap?","","","","3","","","","","","","","","","","","",""
"51","5","multiple","practice","Pilih semua kejadian yang peluangnya 1/2 pada percobaan seimbang.","","","","A,C","","","koin: muncul gambar","dadu: muncul angka 6","dadu: muncul bilangan ganjil","spinner 4 warna sama: muncul satu warna tertentu","","","","","","",""
"51","6","pilihan_ganda","practice","Kotak A berisi 4 bola biru dari 7 bola, kotak B berisi 3 bola biru dari 7 bola. Peluang lebih besar mendapat biru ada pada ...","","","","A","","","Kotak A","Kotak B","Keduanya sama","Tidak dapat ditentukan","","","","","","",""
"51","7","essay","practice","Dari angka 1 sampai 20, berapa banyak bilangan kelipatan 5?","","","","4","","","","","","","","","","","","",""
"51","8","pilihan_ganda","practice","Permainan disebut adil jika ...","","","","C","","","hadiahnya sama","jumlah pemain sama","setiap pemain punya peluang menang yang sama","ada wasit","","","","","","",""
"51","9","essay","practice","Dua dadu dilempar bersamaan. Berapa banyak pasangan hasil (berurutan) yang jumlahnya bilangan prima?","","","","15","","","","","","","","","","","","",""
"51","10","multiple","practice","Pilih semua pernyataan yang benar.","","","","A,B,D","","","peluang terbesar tidak berarti pasti terjadi","peluang dapat membantu mengambil keputusan","kejadian tidak mungkin berarti peluangnya paling besar","dua permainan bisa tampak sama tetapi peluangnya berbeda","","","","","","",""
"51","11","pilihan_ganda","practice","Pada dadu seimbang, peluang muncul angka prima (2,3,5) adalah ...","","","","B","","","2 dari 6","3 dari 6","4 dari 6","5 dari 6","","","","","","",""
"51","12","essay","practice","Kotak berisi 12 kartu dan 3 kartu bertuliskan Hadiah. Berapa banyak kartu yang bukan hadiah?","","","","9","","","","","","","","","","","","",""
"51","13","pilihan_ganda","practice","Spinner 8 bagian sama besar: 5 merah, 3 hijau. Kejadian yang lebih mungkin adalah ...","","","","A","","","mendapat merah","mendapat hijau","keduanya sama","tidak mungkin merah","","","","","","",""
"51","14","essay","practice","Koin seimbang dilempar berulang. Berapa minimal jumlah lemparan agar peluang muncul gambar setidaknya sekali lebih dari 0,9?","","","","4","","","","","","","","","","","","",""
"51","15","pilihan_ganda","practice","Jika peluang menang pemain 1 lebih besar daripada pemain 2, maka permainan itu ...","","","","D","","","pasti adil","semakin sulit","tetap adil karena sama-sama bermain","kurang adil","","","","","","",""
"51","16","multiple","practice","Pilih semua kejadian yang termasuk ""kurang mungkin"" (bukan tidak mungkin dan bukan pasti).","","","","A,C","","","dadu 6 sisi: muncul angka 6","koin seimbang: muncul gambar atau angka","spinner 10 bagian: muncul warna yang hanya 2 bagian","dadu 6 sisi: muncul angka 1-6","","","","","","",""
"51","17","essay","practice","Dari angka 1 sampai 30, berapa banyak bilangan yang merupakan kelipatan 3 atau 5?","","","","14","","","","","","","","","","","","",""
"51","18","pilihan_ganda","practice","Kotak A: 2 merah 8 biru. Kotak B: 6 merah 4 biru. Jika ingin merah, pilih ...","","","","B","","","Kotak A","Kotak B","sama saja","jangan memilih","","","","","","",""
"51","19","pilihan_ganda","practice","Pada dadu seimbang, kejadian dengan peluang terbesar adalah ...","","","","D","","","muncul angka 6","muncul angka genap saja","muncul angka prima saja","muncul salah satu dari 1 sampai 6","","","","","","",""
