material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
4,1,essay,practice,Sebuah taman berbentuk persegi panjang panjang 18 m dan lebar 12 m. Pemilik ingin menambahkan pagar di sekeliling taman. Berapa keliling taman?,,,,60,,,,,,,,,,,,,
4,2,essay,practice,"Ibu memiliki pita sepanjang 2 m untuk mengelilingi meja bundar tiruan berbentuk lingkaran dari karton. Karena meja bundar, Ibu mengganti dengan meja persegi sisi 45 cm agar sesuai. Apakah pita cukup? (jawab cukup/tidak) + keliling meja",,,TODO_IMG_PERSEGI_45CM.png,"tidak, 180",,,,,,,,,,,,,
4,3,mcq,practice,Keliling segitiga sama sisi dengan sisi 14 cm adalah...,,,,42,,,36,42,48,56,,,,,,,
4,4,essay,practice,Keliling segitiga sama kaki dengan sisi sama 12 cm dan alas 10 cm adalah...,,,,34,,,,,,,,,,,,,
4,5,drag_drop,practice,Pasangkan bangun dengan rumus kelilingnya.,,,,,,,,,,,,,,,Persegi;Persegi Panjang;Segitiga;Jajar Genjang;Layang-layang,4 x s;2 x (p + l);a + b + c;2 x (a + b);2 x (a + b),
4,6,mcq,practice,"Sebuah segiempat memiliki sisi 8 cm, 10 cm, 7 cm, dan 11 cm. Kelilingnya adalah...",,,,36,,,34,36,38,40,,,,,,,
4,7,essay,practice,Keliling belah ketupat dengan sisi 9 cm adalah...,,,,36,,,,,,,,,,,,,
4,8,essay,practice,Keliling layang-layang dengan sisi 6 cm dan 10 cm adalah...,,,,32,,,,,,,,,,,,,
4,9,mcq,practice,"Keliling trapesium dengan sisi-sisi 8 cm, 9 cm, 12 cm, dan 13 cm adalah...",,,,42,,,40,41,42,43,,,,,,,
4,10,essay,practice,Sebuah segi lima beraturan memiliki panjang sisi 7 cm. Kelilingnya adalah...,,,,35,,,,,,,,,,,,,
4,11,essay,practice,Sebuah segi enam beraturan memiliki panjang sisi 6 cm. Kelilingnya adalah...,,,,36,,,,,,,,,,,,,
4,12,essay,practice,Sebuah segi delapan beraturan memiliki panjang sisi 5 cm. Kelilingnya adalah...,,,,40,,,,,,,,,,,,,
4,13,multipart,practice,Hitung keliling setiap bangun.,,,,,,,,,,,,,,,,,"a|Persegi panjang p=12 cm, l=7 cm|38;b|Segitiga sisi 8 cm, 9 cm, 11 cm|28;c|Persegi sisi 6 cm|24"
4,14,drag_drop,practice,Pasangkan bangun dengan kelilingnya.,,,,,,,,,,,,,,,Segitiga sama sisi s=9;Persegi s=8;Persegi panjang p=10 l=6;Jajar genjang a=11 b=7;Belah ketupat s=5,27;32;32;36;20,
4,15,essay,practice,"Sebuah kebun berbentuk segi enam beraturan. Jika kelilingnya 72 m, berapa panjang satu sisinya?",,,,12,,,,,,,,,,,,,
4,16,essay,practice,"Sebuah lapangan berbentuk persegi panjang memiliki keliling 64 m. Jika panjangnya 18 m, berapa lebarnya?",,,,14,,,,,,,,,,,,,
4,17,mcq,practice,"Keliling segitiga sembarang dengan sisi 13 cm, 15 cm, dan 16 cm adalah...",,,,44,,,42,43,44,45,,,,,,,
4,18,essay,practice,"Panjang sisi sebuah persegi adalah 9 cm. Jika ditambah 3 cm pada setiap sisi, berapa keliling baru?",,,,48,,,,,,,,,,,,,
4,19,essay,practice,Sebuah jajar genjang memiliki sisi 12 cm dan 9 cm. Berapa kelilingnya?,,,,42,,,,,,,,,,,,,
4,20,mcq,practice,Keliling sebuah layang-layang dengan sisi 7 cm dan 13 cm adalah...,,,,40,,,38,40,42,44,,,,,,,
4,21,multipart,practice,Tentukan keliling bangun gabungan.,,,,,,,,,,,,,,,,,a|Bangun L terdiri dari persegi 6 cm dan persegi 4 cm (keliling luar)|28|TODO_IMG_L_GABUNGAN_6_4.png;b|Dua persegi panjang 8x4 dan 5x4 disambung di sisi 4 cm (keliling luar)|34|TODO_IMG_GABUNGAN_8x4_5x4.png
4,22,essay,practice,Sebuah jalan setapak berbentuk persegi panjang 20 m x 15 m. Di sekelilingnya akan dipasang lampu setiap 5 m. Berapa banyak lampu yang dibutuhkan?,,,,14,,,,,,,,,,,,,
4,23,essay,practice,Perimeter pagar sebuah taman berbentuk segi delapan beraturan adalah 120 m. Berapa panjang satu sisinya?,,,,15,,,,,,,,,,,,,
4,24,drag_drop,practice,Pasangkan situasi dengan kelilingnya.,,,,,,,,,,,,,,,"[""Pita mengelilingi persegi sisi 11"", ""Renda mengelilingi segitiga sisi 7,7,10"", ""Pagar mengelilingi persegi panjang 14x9"", ""Kawat mengelilingi belah ketupat sisi 12"", ""Tali mengelilingi segi enam beraturan sisi 5""]",44;24;46;48;30,
4,25,essay,practice,"Sebuah trapesium sama kaki memiliki sisi sejajar 12 cm dan 18 cm, serta kaki 10 cm dan 10 cm. Berapa kelilingnya?",,,,50,,,,,,,,,,,,,
4,26,essay,practice,"Sebuah papan reklame berbentuk segiempat dengan sisi 25 cm, 18 cm, 22 cm, dan 15 cm. Berapa kelilingnya?",,,,80,,,,,,,,,,,,,
4,27,mcq,practice,"Persegi panjang memiliki keliling 50 cm. Jika lebarnya 9 cm, panjangnya adalah...",,,,16,,,15,16,17,18,,,,,,,
4,28,essay,practice,Sebuah segi lima beraturan memiliki keliling 85 cm. Berapa panjang satu sisinya?,,,,17,,,,,,,,,,,,,
4,29,multipart,practice,Hitung keliling berdasarkan gambar.,,,,,,,,,,,,,,,,,"a|Persegi panjang p=16 l=9|50|TODO_IMG_PERSEGI_PANJANG_16_9.png;b|Segitiga sama kaki sisi 10 cm dan alas 12 cm|32|TODO_IMG_SEGITIGA_SAMAKAKI_10_12.png;c|Trapesium sisi 7, 9, 12, 10|38|TODO_IMG_TRAPESIUM_7_9_12_10.png"
4,30,drag_drop,practice,Pasangkan bangun dengan jumlah sisinya.,,,,,,,,,,,,,,,Segi lima beraturan;Segi enam beraturan;Segi delapan beraturan;Segitiga;Persegi,5;6;8;3;4,
4,31,essay,practice,Keliling sebuah segi banyak beraturan adalah 96 cm dan jumlah sisinya 8. Berapa panjang satu sisinya?,,,,12,,,,,,,,,,,,,
4,32,essay,practice,Papan kayu berbentuk persegi dengan keliling 84 cm. Berapa panjang sisinya?,,,,21,,,,,,,,,,,,,
4,33,mcq,practice,Keliling segi enam beraturan dengan sisi 9 cm adalah...,,,,54,,,45,48,54,60,,,,,,,
4,34,essay,practice,"Sebuah persegi panjang memiliki panjang 2 kali lebarnya. Jika kelilingnya 72 cm, berapa panjang dan lebarnya? (format: p, l)",,,,"24,12",,,,,,,,,,,,,
4,35,multipart,practice,Soal cerita keliling.,,,,,,,,,,,,,,,,,"a|Sebuah kebun persegi sisi 14 m. Berapa kelilingnya?|56;b|Jika pagar dihiasi lampu tiap 2 m, berapa lampu?|28"
