material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
80,1,mcq,practice,"Harga 2 pulpen dan 3 buku 7.100. Jika satu pulpen 1.300, harga 1 buku adalah ...",,,,1500,,,1500,1200,1700,2000,,,,,,,
80,2,essay,practice,Total harga 4 kue @2.400 dan x puding @900 adalah 15.000. Tentukan x.,,,,4,,,,,,,,,,,,,
80,3,mcq,practice,"Pagar 24 m, sisi depan 3 m lebih panjang dari sisi samping. Panjang sisi samping adalah ...",,,,7,,,7,6,8,9,,,,,,,
80,4,essay,practice,"Tulis persamaan untuk pagar: sisi samping x, sisi depan x+3, total 24 m.",,,,2x+(x+3)=24,,,,,,,,,,,,,
80,5,mcq,practice,"Kelas kekurangan 3 kastanye jika tiap siswa 9 butir, dan sisa 4 butir jika tiap siswa 8 butir. Banyak siswa adalah ...",,,,7,,,6,7,8,9,,,,,,,
80,6,essay,practice,"Dari soal kastanye: jika banyak siswa x, tulis persamaan yang benar.",,,,9x-3=8x+4,,,,,,,,,,,,,
80,7,mcq,practice,"Adik berjalan 60 m/menit, kakak 240 m/menit, kakak berangkat 9 menit kemudian. Waktu mengejar setelah berangkat adalah ...",,,,3,,,2,3,4,6,,,,,,,
80,8,essay,practice,"Buat persamaan jarak untuk soal kejar: adik 60(x+9), kakak 240x.",,,,60(x+9)=240x,,,,,,,,,,,,,
80,9,mcq,practice,"Truk 60 km/jam berangkat 1 jam lebih dulu, mobil 100 km/jam. Waktu sejak mobil berangkat sampai menyusul adalah ...",,,,1.5,,,1,1.5,2,2.5,,,,,,,
80,10,essay,practice,Hitung jarak tempuh mobil saat menyusul truk (soal no 9).,,,,150,,,,,,,,,,,,,
80,11,mcq,practice,Rasio tepung:t ikan 300:90 disederhanakan menjadi ...,,,,10:3,,,10:3,3:10,30:9,100:30,,,,,,,
80,12,essay,practice,"Jika rasio a:b = c:d, maka sifat perbandingan adalah ...",,,,ad=bc,,,,,,,,,,,,,
80,13,mcq,practice,Selesaikan perbandingan x:3=4:5.,,,,2.4,,,2.4,3.75,1.5,4,,,,,,,
80,14,essay,practice,Selesaikan perbandingan 8:5 = x:6.,,,,9.6,,,,,,,,,,,,,
80,15,mcq,practice,"Kopi susu: 160 ml susu dengan 120 ml kopi. Jika kopi 180 ml, susu yang diperlukan adalah ...",,,,240,,,240,200,220,260,,,,,,,
80,16,essay,practice,Buat perbandingan untuk soal kopi susu (soal 15).,,,,120:160=180:x,,,,,,,,,,,,,
