"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"67","1","pilihan_ganda","practice","Luas permukaan diukur dengan cara ...","","","","B","","","menghitung berat benda","menghitung banyak satuan luas yang menutupi tanpa celah","menghitung panjang sisi saja","menghitung volume","","","","","","",""
"67","2","essay","practice","Mengapa hasil luas bisa berbeda jika satuan tidak baku yang dipakai berbeda ukuran?","","","","karena ukuran satuan berbeda sehingga jumlah satuan penutup berbeda","","","","","","","","","","","","",""
"67","3","multipart","practice","Konsep luas tidak baku.","","","","","","","","","","","","","","","","","a|Jika satuan lebih besar, jumlah satuan yang dibutuhkan|lebih sedikit;b|Jika satuan lebih kecil, jumlah satuan yang dibutuhkan|lebih banyak;c|Luas diukur dengan menutup permukaan tanpa|celah"
"67","4","pilihan_ganda","practice","Berapa luas bangun pada gambar jika tiap kotak 1 cm²?","","","/images/kelas4-pengukuran-luas-volume/k4lv-q4-luas-grid.png","C","","","11 cm²","12 cm²","13 cm²","14 cm²","","","","","","",""
"67","5","essay","practice","Konversi 1 m² ke cm².","","","","10.000 cm²","","","","","","","","","","","","",""
"67","6","pilihan_ganda","practice","Konversi yang benar adalah ...","","","","A","","","2 m² = 20.000 cm²","2 m² = 2.000 cm²","2 m² = 200 cm²","2 m² = 200.000 cm²","","","","","","",""
"67","7","multipart","practice","Lengkapi konversi luas.","","","","","","","","","","","","","","","","","a|0,75 m² ke cm²|7.500 cm²;b|12.000 cm² ke m²|1,2 m²;c|3 m² ke cm²|30.000 cm²"
"67","8","essay","practice","Dua bangun berbeda masing-masing memiliki luas 13 cm². Apa kesimpulan yang tepat?","","","","bentuk bisa berbeda tetapi luasnya sama","","","","","","","","","","","","",""
"67","9","pilihan_ganda","practice","Satuan yang paling tepat untuk luas lapangan sekolah adalah ...","","","","D","","","cm²","mm²","dm²","m²","","","","","","",""
"67","10","essay","practice","Satuan yang paling tepat untuk luas sampul buku tulis adalah ...","","","","cm²","","","","","","","","","","","","",""
"67","11","pilihan_ganda","practice","Satuan baku volume cairan yang tepat adalah ...","","","","B","","","cm² dan m²","ml dan l","cm dan m","cm³ dan m³ saja","","","","","","",""
"67","12","multipart","practice","Gunakan tabel volume pada gambar.","","","/images/kelas4-pengukuran-luas-volume/k4lv-q12-konversi-volume.png","","","","","","","","","","","","","","a|Volume susu UHT dalam liter|1 l;b|Volume jus dalam liter|0,256 l;c|Hubungan 1 l dengan ml|1.000 ml"
"67","13","essay","practice","Ubah 9.485 ml menjadi liter dan mililiter.","","","","9 l 485 ml","","","","","","","","","","","","",""
"67","14","pilihan_ganda","practice","2.500 ml sama dengan ...","","","","C","","","25 l","2 l 50 ml","2 l 500 ml","250 l","","","","","","",""
"67","15","multipart","practice","Lengkapi konversi volume.","","","","","","","","","","","","","","","","","a|75.000 ml dalam liter|75 l;b|1,5 l dalam ml|1.500 ml;c|3 l 250 ml dalam ml|3.250 ml"
"67","16","essay","practice","Sebuah botol besar setara 8 botol kecil. Jika 3 botol besar diisi penuh, berapa botol kecil setara volumenya?","","","","24 botol kecil","","","","","","","","","","","","",""
"67","17","pilihan_ganda","practice","1 cm³ setara dengan ...","","","","A","","","1 ml","10 ml","100 ml","1 l","","","","","","",""
"67","18","essay","practice","1 m³ setara dengan berapa liter?","","","","1.000 liter","","","","","","","","","","","","",""
"67","19","multipart","practice","Satuan volume untuk benda pejal.","","","","","","","","","","","","","","","","","a|Kubus kecil biasa dinyatakan dalam|cm³;b|Bak mandi besar lebih tepat dalam|m³;c|1 cm³ setara|1 ml"
"67","20","pilihan_ganda","practice","Berdasarkan tabel pada gambar, bangun yang luasnya sama adalah ...","","","/images/kelas4-pengukuran-luas-volume/k4lv-q20-luas-bangun.png","A","","","A dan B","B dan C","C dan D","A dan D","","","","","","",""
"67","21","essay","practice","Hitung luas persegi panjang 6 cm x 4 cm.","","","","24 cm²","","","","","","","","","","","","",""
"67","22","pilihan_ganda","practice","Luas persegi sisi 7 cm adalah ...","","","","B","","","42 cm²","49 cm²","14 cm²","28 cm²","","","","","","",""
"67","23","essay","practice","Jika luas daerah 9 cm², berikan satu contoh bentuk yang mungkin (deskripsi).","","","","contoh: persegi 3x3 satuan","","","","","","","","","","","","",""
"67","24","multipart","practice","Operasi volume campuran.","","","","","","","","","","","","","","","","","a|2 l 250 ml + 750 ml|3 l;b|5 l - 1 l 300 ml|3 l 700 ml;c|4.000 ml - 1 l 250 ml|2.750 ml"
"67","25","pilihan_ganda","practice","Olivia membeli 7 l 500 ml susu lalu minum 3 l 700 ml. Sisa susu adalah ...","","","","D","","","3 l 700 ml","4 l","3 l 900 ml","3 l 800 ml","","","","","","",""
"67","26","essay","practice","Fina membeli susu 3 l 250 ml, 2 l 750 ml, dan 3 l 500 ml. Berapa totalnya?","","","","9 l 500 ml","","","","","","","","","","","","",""
"67","27","pilihan_ganda","practice","Jika volume setiap kubus satuan 1 cm³, maka 12 kubus memiliki volume ...","","","","C","","","12 cm²","120 cm³","12 cm³","1,2 cm³","","","","","","",""
"67","28","multipart","practice","Hitung volume bangun dari gambar kubus satuan.","","","/images/kelas4-pengukuran-luas-volume/k4lv-q28-kubus-satuan.png","","","","","","","","","","","","","","a|Baris pertama (kubus)|4;b|Baris kedua (kubus)|3;c|Total volume|12 cm³"
"67","29","essay","practice","Gambarkan (deskripsikan) dua susunan kubus berbeda yang keduanya bervolume 12 cm³.","","","","contoh: 3x2x2 dan 4x3x1","","","","","","","","","","","","",""
"67","30","pilihan_ganda","practice","Pernyataan yang benar adalah ...","","","","A","","","luas memakai cm²/m², volume cairan memakai ml/l","luas memakai ml/l","volume pejal memakai cm²","semua pengukuran pakai cm","","","","","","",""
"67","31","essay","practice","Hitung sisa air tangki: awal 2.225 l, keluar 975 l 325 ml.","","","","1.249 l 675 ml","","","","","","","","","","","","",""
"67","32","multipart","practice","Strategi soal cerita volume.","","","","","","","","","","","","","","","","","a|Langkah pertama sebelum mengurang volume campuran|samakan satuan;b|1 l setara|1.000 ml;c|6.340 ml dalam liter|6,34 l"
