material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
93,1,mcq,practice,,"Manakah berikut ini yang merupakan fungsi dari A ke B? A={1,2,3}, B={a,b}.",,,"{(1,a),(2,a),(3,b)}",,,"{(1,a),(2,a),(3,b)}","{(1,a),(1,b),(2,b)}","{(1,a),(2,b),(3,a),(3,b)}","{(1,a),(2,b)}",,,,,,,
93,2,essay,practice,,Nyatakan himpunan A={bilangan genap kurang dari 10} dengan cara enumerasi dan notasi pembentuk.,,,"Enumerasi: {2,4,6,8}. Notasi: {x|x genap, x<10, x∈A}.",,,,,,,,,,,,,
93,3,mcq,practice,,Kalimat '2x + 3 > 11' termasuk ...,,,pertidaksamaan linier satu variabel,,,pertidaksamaan linier satu variabel,persamaan linier dua variabel,persamaan kuadrat,kalimat tertutup,,,,,,,
93,4,essay,practice,,"Diketahui A={2,3,5} dan B={1,4,5,6}. Relasi 'kurang dari'. Tentukan domain, kodomain, dan range.",,,"Domain={2,3,5}; Kodomain={1,4,5,6}; Range={4,5,6}.",,,,,,,,,,,,,
93,5,mcq,practice,,Himpunan berhingga adalah ...,,,himpunan dengan jumlah anggota terbatas,,,himpunan dengan jumlah anggota terbatas,himpunan dengan anggota tak terhingga,himpunan tanpa anggota,himpunan yang tidak dapat ditulis,,,,,,,
93,6,essay,practice,,"Nyatakan himpunan C={1,4,9,16,25} dengan deskripsi.",,,Himpunan kuadrat bilangan asli 1 sampai 5.,,,,,,,,,,,,,
93,7,mcq,practice,,"Jika A={a,b,c} dan B={1,2,3}, banyak korespondensi satu‑satu dari A ke B adalah ...",,,6,,,6,3,9,12,,,,,,,
93,8,essay,practice,,Tentukan banyak korespondensi satu‑satu jika n(A)=n(B)=5.,,,5! = 120,,,,,,,,,,,,,
93,9,mcq,practice,,"Relasi {(1,2),(2,3),(3,4)} dari A={1,2,3} ke B={2,3,4} adalah ...",,,fungsi,,,fungsi,bukan fungsi,korespondensi satu‑satu,bukan relasi,,,,,,,
93,10,essay,practice,,"Dari relasi pada soal 9, tentukan domain, kodomain, dan range.",,,"Domain={1,2,3}; Kodomain={2,3,4}; Range={2,3,4}.",,,,,,,,,,,,,
93,11,mcq,practice,,"Himpunan pasangan berurutan {(1,a),(2,a),(3,a)} merupakan ...",,,fungsi tetapi bukan korespondensi satu‑satu,,,fungsi tetapi bukan korespondensi satu‑satu,korespondensi satu‑satu,bukan fungsi,bukan relasi,,,,,,,
93,12,essay,practice,,"Diketahui f(x)=2x+3. Hitung f(-2), f(0), f(5).",,,"-1, 3, 13",,,,,,,,,,,,,
93,13,mcq,practice,,"Jika sebuah relasi dari A ke B memasangkan satu anggota A dengan dua anggota B, maka ...",,,bukan fungsi,,,bukan fungsi,fungsi,korespondensi satu‑satu,fungsi linier,,,,,,,
93,14,essay,practice,,Tentukan apakah relasi 'ayah dari' termasuk fungsi dari himpunan anak ke himpunan orang tua. Jelaskan singkat.,,,"Ya, setiap anak memiliki tepat satu ayah.",,,,,,,,,,,,,
93,15,mcq,practice,,Pernyataan yang benar tentang korespondensi satu‑satu adalah ...,,,setiap anggota domain dan kodomain berpasangan tepat satu,,,setiap anggota domain dan kodomain berpasangan tepat satu,setiap anggota domain boleh berpasangan lebih dari satu,jumlah anggota domain boleh berbeda dari kodomain,kodomain tidak harus terpakai,,,,,,,
93,16,essay,practice,,"Buat relasi dari A={1,2,3,4} ke B={2,4,6,8} dengan aturan 'dua kali dari', tuliskan pasangan berurutan.",,,"{(1,2),(2,4),(3,6),(4,8)}",,,,,,,,,,,,,
93,17,mcq,practice,,"Jika n(A)=3 dan n(B)=4, maka korespondensi satu‑satu ...",,,tidak mungkin,,,tidak mungkin,ada 12,ada 7,ada 3!,,,,,,,
93,18,essay,practice,,"Sebuah fungsi f memetakan A={-1,0,1,2} ke B. Jika f(x)=x^2+1, tulis range.",,,"{1,2,5}",,,,,,,,,,,,,
93,19,mcq,practice,,"Relasi 'kurang dari' dari A={1,2} ke B={1,2,3} memiliki pasangan ...",,,"{(1,2),(1,3),(2,3)}",,,"{(1,2),(1,3),(2,3)}","{(1,1),(2,2)}","{(1,2),(2,1)}","{(1,3),(2,2)}",,,,,,,
93,20,essay,practice,,Tentukan apakah relasi pada soal 19 adalah fungsi. Jelaskan singkat.,,,Bukan fungsi karena 1 berpasangan dengan lebih dari satu anggota B.,,,,,,,,,,,,,
