material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
77,1,mcq,practice,Sederhanakan 4x - 2(3 - x).,,,,6x-6,,4x - 2(3 - x) = 4x - 6 + 2x = 6x-6.,6x-6,2x-6,6x+6,4x-6,,,,,,,
77,2,mcq,practice,Sederhanakan 3(a+2) - 2(2a-5).,,,,-a+16,,3a+6-4a+10= -a+16.,-a+16,a+16,-a-16,a-16,,,,,,,
77,3,essay,practice,"Untuk x=-3 dan y=4, hitung 2x² - 3y.",,,,6,,2(9)-12=6.,,,,,,,,,,,
77,4,mcq,practice,"Jika dua bilangan berurutan adalah n dan n+1, jumlahnya adalah ...",,,,2n+1,,n + (n+1) = 2n+1.,2n+1,2n,n+1,n+2,,,,,,,
77,5,essay,practice,Nilai |2a-5| jika a=1 adalah ...,,,,3,,|2(1)-5|=|-3|=3.,,,,,,,,,,,
77,6,mcq,practice,"Jika |x|=7 dan x negatif, nilai 3x+1 adalah ...",,,,-20,,x=-7 => 3x+1=-20.,-20,20,-8,8,,,,,,,
77,7,mcq,practice,Sederhanakan (5p-2q) - (3p+4q).,,,,2p-6q,,5p-2q-3p-4q=2p-6q.,2p-6q,8p+2q,2p+6q,-2p-6q,,,,,,,
77,8,essay,practice,Sederhanakan 4(2x-3)+2(x+5).,,,,10x-2,,8x-12+2x+10=10x-2.,,,,,,,,,,,
77,9,mcq,practice,"Jika s = v t, v=80 dan t=a/4, maka s= ...",,,,20a,,s=80*(a/4)=20a.,20a,80a,a/20,320/a,,,,,,,
77,10,essay,practice,"Jika p=3a dan l=a+2, maka L = p l. Nyatakan L.",,,,3a²+6a,,L=3a(a+2)=3a²+6a.,,,,,,,,,,,
77,11,mcq,practice,Nilai 2(a-3)+3(2-a) setara dengan ...,,,,-a,,2a-6+6-3a=-a.,-a,a,-2a,2a,,,,,,,
77,12,essay,practice,Total biaya 4 roti harga p rupiah dengan diskon 1000 rupiah adalah ...,,,,4p-1000,,,,,,,,,,,,,
77,13,mcq,practice,Koefisien x pada 7x - 3 + 2x adalah ...,,,,9,,7x+2x=9x.,9,7,2,5,,,,,,,
77,14,essay,practice,Tentukan nilai x jika 4x+7=-9.,,,,-4,,,,,,,,,,,,,
77,15,mcq,practice,Bentuk aljabar 'selisih tiga kali m dan n' adalah ...,,,,3m-n,,Selisih 3m dan n adalah 3m-n.,3m-n,m-3n,3(m-n),n-3m,,,,,,,
77,16,essay,practice,Nilai 5 - (2x-3) untuk x=4 adalah ...,,,,0,,5-(8-3)=0.,,,,,,,,,,,
77,17,mcq,practice,"Jika waktu di WIB pukul 10.00, maka di WIT pukul ...",,,,12.00,,WIT lebih cepat 2 jam dari WIB.,12.00,11.00,10.00,13.00,,,,,,,
77,18,essay,practice,"Jika waktu di WITA pukul 14.30, maka di WIB pukul ...",,,,13.30,,WITA lebih cepat 1 jam dari WIB.,,,,,,,,,,,
77,19,mcq,practice,"Jika y=2x+1 dan x=-2, maka y= ...",,,,-3,,y=2(-2)+1=-3.,-3,-5,3,5,,,,,,,
77,20,essay,practice,Tentukan nilai a jika 2(a-5)=18.,,,,14,,,,,,,,,,,,,
77,21,mcq,practice,"Rata-rata dari a, a+4, a+8 adalah ...",,,,a+4,,(3a+12)/3=a+4.,a+4,a+6,a+2,3a+12,,,,,,,
77,22,essay,practice,Sederhanakan (x-2)(x+5).,,,,x²+3x-10,,,,,,,,,,,,,
77,23,mcq,practice,"Jika 30% dari x adalah 18, maka x= ...",,,,60,,0.3x=18 => x=60.,60,54,45,30,,,,,,,
77,24,essay,practice,Tentukan semua x yang memenuhi |x-3|=5.,,,,8 atau -2,,,,,,,,,,,,,
