material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
90,1,mcq,practice,,Nilai dari 2^8 adalah ...,,,256,,,256,128,512,64,,,,,,,
90,2,mcq,practice,,Bentuk sederhana dari 3^4 x 3^5 adalah ...,,,3^9,,,3^9,3^20,3^1,3^45,,,,,,,
90,3,mcq,practice,,Bentuk sederhana dari 5^7 : 5^3 adalah ...,,,5^4,,,5^4,5^10,5^21,5^3,,,,,,,
90,4,mcq,practice,,Bentuk sederhana dari (2^3)^4 adalah ...,,,2^12,,,2^12,2^7,2^34,2^9,,,,,,,
90,5,mcq,practice,,Nilai dari 10^0 adalah ...,,,1,,,1,0,10,-1,,,,,,,
90,6,mcq,practice,,Nilai dari 2^-3 adalah ...,,,1/8,,,1/8,-8,8,-1/8,,,,,,,
90,7,mcq,practice,,Bentuk sederhana dari (4x3)^2 adalah ...,,,4^2 x 3^2,,,4^2 x 3^2,4^6,12^2,4^2 x 3,,,,,,,
90,8,mcq,practice,,Bentuk sederhana dari (a^2)(a^5) adalah ...,,,a^7,,,a^7,a^10,a^3,a^25,,,,,,,
90,9,mcq,practice,,Bentuk sederhana dari (6a)^3 adalah ...,,,6^3 a^3,,,6^3 a^3,6a^3,6^3 a,18a^3,,,,,,,
90,10,mcq,practice,,Nilai dari (-3)^4 adalah ...,,,81,,,81,-81,-27,27,,,,,,,
90,11,mcq,practice,,Nilai dari (-3)^5 adalah ...,,,-243,,,-243,243,-81,81,,,,,,,
90,12,mcq,practice,,Manakah yang benar?,,,(2a)^3 = 2^3 a^3,,,(2a)^3 = 2^3 a^3,(2a)^3 = 2a^3,(2a)^3 = 2^3 a,(2a)^3 = 2^6 a^3,,,,,,,
90,13,mcq,practice,,"Jika a ≠ 0, maka a^0 : a^5 = ...",,,a^-5,,,a^-5,a^5,1,a^0,,,,,,,
90,14,mcq,practice,,Bentuk sederhana dari 0.5^3 x 0.5^2 adalah ...,,,0.5^5,,,0.5^5,0.5^6,0.5^1,0.5^8,,,,,,,
90,15,mcq,practice,,"Jika 3^x = 81, maka x = ...",,,4,,,4,3,5,2,,,,,,,
90,16,mcq,practice,,"Jika 2^x = 1/8, maka x = ...",,,-3,,,-3,3,-2,2,,,,,,,
90,17,mcq,practice,,Bentuk sederhana dari (a^3 b^2)^2 adalah ...,,,a^6 b^4,,,a^6 b^4,a^5 b^4,a^6 b^2,a^3 b^2,,,,,,,
90,18,mcq,practice,,Bentuk sederhana dari 10^6 x 10^-2 adalah ...,,,10^4,,,10^4,10^8,10^-8,10^-4,,,,,,,
90,19,mcq,practice,,"Jika 4^x = 64, maka x = ...",,,3,,,3,2,4,5,,,,,,,
90,20,mcq,practice,,Bentuk sederhana dari (9a^2)^0 adalah ...,,,1,,,1,9a^2,0,a^0,,,,,,,
90,21,essay,practice,,Tuliskan 7 x 7 x 7 x 7 dalam bentuk pangkat.,,,7^4,,,,,,,,,,,,,
90,22,essay,practice,,Tuliskan (3a)^4 dalam bentuk perkalian berulang.,,,(3a)(3a)(3a)(3a),,,,,,,,,,,,,
90,23,essay,practice,,Sederhanakan 2^5 x 2^4.,,,2^9,,,,,,,,,,,,,
90,24,essay,practice,,Sederhanakan 5^9 : 5^2.,,,5^7,,,,,,,,,,,,,
90,25,essay,practice,,Sederhanakan (4^3)^2.,,,4^6,,,,,,,,,,,,,
90,26,essay,practice,,Sederhanakan (2x^3 y)^2.,,,2^2 x^6 y^2,,,,,,,,,,,,,
90,27,essay,practice,,Ubah bentuk pangkat negatif 3^-4 menjadi pangkat positif.,,,1/3^4,,,,,,,,,,,,,
90,28,essay,practice,,Nyatakan 1/125 sebagai pangkat dari 5.,,,5^-3,,,,,,,,,,,,,
90,29,essay,practice,,"Jika 10^x = 1000, tentukan x.",,,3,,,,,,,,,,,,,
90,30,essay,practice,,"Jika 2^x = 32, tentukan x.",,,5,,,,,,,,,,,,,
90,31,essay,practice,,Sederhanakan (a^2 b^3)(a^4 b^2).,,,a^6 b^5,,,,,,,,,,,,,
90,32,essay,practice,,Sederhanakan (6^2)(6^-5).,,,6^-3,,,,,,,,,,,,,
90,33,essay,practice,,Tentukan nilai dari (-2)^6.,,,64,,,,,,,,,,,,,
90,34,essay,practice,,Tentukan nilai dari (-2)^7.,,,-128,,,,,,,,,,,,,
90,35,essay,practice,,Tentukan nilai n jika 3^n = 243.,,,5,,,,,,,,,,,,,
90,36,essay,practice,,"Ubah 0,000001 ke bentuk pangkat 10.",,,10^-6,,,,,,,,,,,,,
90,37,essay,practice,,Sederhanakan 4^5 : 4^5.,,,1,,,,,,,,,,,,,
90,38,essay,practice,,Sederhanakan (a^0)(b^3).,,,b^3,,,,,,,,,,,,,
90,39,essay,practice,,Tuliskan bentuk baku dari 4.500.000.,,,4.5 x 10^6,,,,,,,,,,,,,
90,40,essay,practice,,Kecepatan cahaya 3 x 10^8 m/detik. Berapa meter ditempuh dalam 5 detik? Tulis dalam bentuk pangkat 10.,,,1.5 x 10^9,,,,,,,,,,,,,
