"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"64","1","pilihan_ganda","practice","Bilangan ""empat ribu tiga ratus dua puluh tujuh"" ditulis ...","","","","B","","","4.237","4.327","4.723","4.372","","","","","","",""
"64","2","essay","practice","Tuliskan nama bilangan dari 8.110.","","","","delapan ribu seratus sepuluh","","","","","","","","","","","","",""
"64","3","multipart","practice","Lengkapi nilai tempat untuk 6.354.","","","","","","","","","","","","","","","","","a|Nilai angka 6|6.000;b|Nilai angka 3|300;c|Nilai angka 5|50"
"64","4","pilihan_ganda","practice","Berdasarkan tabel pada gambar, bilangan yang memiliki 0 ratusan adalah ...","","","/images/kelas4-bilangan-10000/k4-q4-placevalue.png","A","","","7.034","8.120","4.905","tidak ada","","","","","","",""
"64","5","essay","practice","Uraikan 7.025 ke bentuk komposisi nilai tempat.","","","","7.000 + 20 + 5","","","","","","","","","","","","",""
"64","6","pilihan_ganda","practice","Bilangan terbesar yang dapat dibuat dari digit 2, 0, 5, 8 tanpa pengulangan adalah ...","","","","D","","","8.250","8.205","8.025","8.520","","","","","","",""
"64","7","essay","practice","Buat bilangan 4 digit terkecil dari digit 9, 4, 1, 7 tanpa pengulangan.","","","","1.479","","","","","","","","","","","","",""
"64","8","multipart","practice","Tentukan hasil perbandingan.","","","","","","","","","","","","","","","","","a|4.352 ... 4.365|<;b|7.090 ... 7.009|>;c|3.500 ... 3.500|="
"64","9","pilihan_ganda","practice","Urutan dari terkecil ke terbesar yang benar untuk 3.726, 2.460, 3.676 adalah ...","","","","C","","","3.726, 3.676, 2.460","2.460, 3.726, 3.676","2.460, 3.676, 3.726","3.676, 2.460, 3.726","","","","","","",""
"64","10","multipart","practice","Gunakan data pada gambar untuk menentukan mana lebih besar.","","","/images/kelas4-bilangan-10000/k4-q10-compare.png","","","","","","","","","","","","","","a|4.080 dan 4.800|4.800;b|3.209 dan 3.290|3.290;c|7.450 dan 7.405|7.450"
"64","11","essay","practice","Hitung 134 + 764.","","","","898","","","","","","","","","","","","",""
"64","12","pilihan_ganda","practice","Hasil 345 + 491 adalah ...","","","","B","","","826","836","846","856","","","","","","",""
"64","13","essay","practice","Hitung 674 + 142 + 213.","","","","1.029","","","","","","","","","","","","",""
"64","14","pilihan_ganda","practice","Hasil 712 - 324 adalah ...","","","","A","","","388","398","408","418","","","","","","",""
"64","15","essay","practice","Hitung 612 - 389 dengan metode meminjam.","","","","223","","","","","","","","","","","","",""
"64","16","multipart","practice","Lengkapi operasi pada gambar.","","","/images/kelas4-bilangan-10000/k4-q16-addsub.png","","","","","","","","","","","","","","a|768 + 457|1.225;b|900 - 468|432;c|1.000 - 245|755"
"64","17","pilihan_ganda","practice","Makna 32 x 3 adalah ...","","","","C","","","3 + 2","32 + 3","32 dijumlahkan 3 kali","3 dijumlahkan 32 kali","","","","","","",""
"64","18","essay","practice","Tentukan hasil 45 x 5.","","","","225","","","","","","","","","","","","",""
"64","19","pilihan_ganda","practice","Tentukan hasil 96 : 3.","","","","D","","","31","30","33","32","","","","","","",""
"64","20","essay","practice","Tentukan hasil 70 : 5.","","","","14","","","","","","","","","","","","",""
