material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
6,1,essay,practice,Sebuah kebun berbentuk persegi panjang 18 m x 12 m. Di tengahnya ada kolam persegi sisi 4 m. Berapa luas kebun yang bisa ditanami?,,,TODO_IMG_LUAS_A01.png,200,,,,,,,,,,,,,
6,2,mcq,practice,Manakah pernyataan yang benar tentang luas daerah bangun datar?,,,,B,,,Luas adalah panjang keliling bangun,Luas menyatakan besar kecilnya daerah yang dibatasi bangun,Luas hanya berlaku untuk persegi,Luas diukur dengan satuan panjang,,,,,,,
6,3,mcq,practice,Dua bangun pada gambar memiliki keliling sama. Manakah yang pasti benar?,,,TODO_IMG_LUAS_A02.png,B,,,Luasnya pasti sama,Luasnya bisa berbeda,Luasnya selalu lebih besar pada bangun A,Tidak dapat dibandingkan karena keliling sama,,,,,,,
6,4,essay,practice,"Sebuah taplak meja berbentuk persegi sisi 120 cm. Jika 1/4 bagian dilipat ke bawah, berapa luas taplak yang masih menutupi meja?",,,,10800,,,,,,,,,,,,,
6,5,essay,practice,Sebuah lapangan berbentuk persegi panjang 25 m x 14 m. Berapa luasnya?,,,,350,,,,,,,,,,,,,
6,6,essay,practice,"Persegi panjang pada gambar dibagi menjadi 2 persegi sama sisi. Jika sisi persegi 9 cm, berapa luas persegi panjang?",,,TODO_IMG_LUAS_B01.png,162,,,,,,,,,,,,,
6,7,mcq,practice,Luas persegi dengan sisi 13 cm adalah...,,,,B,,,156,169,182,196,,,,,,,
6,8,essay,practice,Luas segitiga dengan alas 20 cm dan tinggi 11 cm adalah...,,,,110,,,,,,,,,,,,,
6,9,essay,practice,Luas jajargenjang pada gambar adalah...,,,TODO_IMG_LUAS_B02.png,153,,,,,,,,,,,,,
6,10,essay,practice,Luas belah ketupat dengan diagonal 12 cm dan 10 cm adalah...,,,,60,,,,,,,,,,,,,
6,11,mcq,practice,Luas layang-layang pada gambar adalah...,,,TODO_IMG_LUAS_B03.png,B,,,80,90,100,108,,,,,,,
6,12,essay,practice,Trapesium memiliki sisi sejajar 14 cm dan 8 cm serta tinggi 6 cm. Berapa luasnya?,,,,66,,,,,,,,,,,,,
6,13,essay,practice,Bangun gabungan pada gambar terdiri dari persegi panjang 18 cm x 8 cm dan persegi sisi 6 cm yang menempel. Berapa luas total?,,,TODO_IMG_LUAS_C01.png,180,,,,,,,,,,,,,
6,14,multipart,practice,Tentukan luas bangun gabungan pada gambar.,,,TODO_IMG_LUAS_C02.png,,,,,,,,,,,,,,"a|Luas gabungan bangun L|136;b|Jika 1/4 bagian diarsir, berapa luas yang diarsir|34"
6,15,mcq,practice,"Dua persegi panjang memiliki keliling 24 cm. Ukuran: A = 5x7, B = 4x8 (cm). Manakah yang luasnya lebih besar?",,,TODO_IMG_LUAS_D01.png,A,,,A,B,Sama,Tidak dapat ditentukan,,,,,,,
6,16,essay,practice,"Sebuah persegi panjang berkeliling 40 cm. Jika panjangnya 14 cm, berapa luasnya?",,,,84,,,,,,,,,,,,,
6,17,essay,practice,"Sebuah persegi panjang berluas 96 cm2. Jika lebarnya 8 cm, berapa panjangnya?",,,,12,,,,,,,,,,,,,
6,18,drag_drop,practice,Pasangkan situasi dengan luasnya.,,,,,,,,,,,,,,,"[""Persegi sisi 8 cm"", ""Persegi panjang 13 x 5 cm"", ""Segitiga alas 16 cm tinggi 9 cm"", ""Jajargenjang alas 11 cm tinggi 7 cm""]","[""64"", ""65"", ""72"", ""77""]",
6,19,mcq,practice,Luas segitiga yang alasnya 16 cm dan tingginya 13 cm adalah...,,,,B,,,96,104,112,128,,,,,,,
6,20,multipart,practice,Selesaikan soal berdasarkan gambar.,,,TODO_IMG_LUAS_H01.png,,,,,,,,,,,,,,"a|Luas lapangan 20 m x 12 m|240;b|Jika 1/5 bagian diarsir, berapa luas yang diarsir|48"
6,21,essay,practice,"Sebuah trapesium memiliki luas 120 cm2 dan tinggi 10 cm. Jika salah satu sisi sejajarnya 14 cm, berapa panjang sisi sejajar lainnya?",,,,10,,,,,,,,,,,,,
6,22,essay,practice,Sebuah belah ketupat memiliki diagonal 24 cm dan 10 cm. Berapa luasnya?,,,,120,,,,,,,,,,,,,
6,23,essay,practice,Lapangan 24 m x 15 m dibuat jalan setapak selebar 1 m mengelilingi bagian dalam. Berapa luas jalan setapak?,,,TODO_IMG_LUAS_H02.png,74,,,,,,,,,,,,,
6,24,drag_drop,practice,Pasangkan bangun dengan luasnya.,,,,,,,,,,,,,,,"[""Persegi s=7"", ""Persegi panjang 9 x 4"", ""Segitiga alas 12 tinggi 5"", ""Trapesium a=10 b=6 t=4""]","[""49"", ""36"", ""30"", ""32""]",
6,25,essay,practice,Sebuah papan 20 cm x 14 cm dipotong segitiga siku-siku dengan kaki 6 cm dan 8 cm. Berapa luas sisa papan?,,,,256,,,,,,,,,,,,,
6,26,essay,practice,Lantai kelas 8 m x 6 m digelar karpet 2 m x 3 m. Berapa luas lantai yang tidak tertutup karpet?,,,TODO_IMG_LUAS_H03.png,42,,,,,,,,,,,,,
6,27,mcq,practice,"Luas persegi panjang 180 cm2. Jika panjang 15 cm, lebarnya...",,,,B,,,10,12,14,16,,,,,,,
6,28,drag_drop,practice,Cocokkan ukuran bangun dengan luasnya.,,,,,,,,,,,,,,,"[""Persegi s=9"", ""Persegi panjang 14 x 6"", ""Segitiga alas 18 tinggi 7"", ""Trapesium a=10 b=16 t=6"", ""Belah ketupat d1=12 d2=18""]","[""81"", ""84"", ""63"", ""78"", ""108""]",
6,29,essay,practice,Persegi panjang 16 cm x 10 cm dibagi diagonal. Berapa luas salah satu segitiga yang terbentuk?,,,TODO_IMG_LUAS_H04.png,80,,,,,,,,,,,,,
6,30,multipart,practice,Hitung luas berdasarkan data.,,,,,,,,,,,,,,,,,a|Persegi panjang 20 cm x 7 cm|140;b|Segitiga alas 15 cm tinggi 8 cm|60;c|Trapesium a=12 b=8 t=5|50
6,31,essay,practice,Sebuah persegi memiliki keliling 48 cm. Berapa luasnya?,,,TODO_IMG_LUAS_H05.png,144,,,,,,,,,,,,,
6,32,essay,practice,Luas jajargenjang dengan alas 18 cm dan tinggi 5 cm adalah...,,,,90,,,,,,,,,,,,,
6,33,drag_drop,practice,Pasangkan pernyataan dengan luas yang sesuai.,,,,,,,,,,,,,,,"[""Persegi s=5"", ""Persegi panjang 11 x 3"", ""Segitiga alas 18 tinggi 6"", ""Jajargenjang alas 9 tinggi 4"", ""Trapesium a=9 b=15 t=4""]","[""25"", ""33"", ""54"", ""36"", ""48""]",
6,34,essay,practice,"Trapesium berluas 150 cm2 dan tinggi 10 cm. Jika sisi sejajar atas 12 cm, berapa sisi sejajar bawah?",,,TODO_IMG_LUAS_H06.png,18,,,,,,,,,,,,,
6,35,mcq,practice,"Dua persegi panjang memiliki keliling 36 cm. Ukuran A = 8x10, B = 6x12. Manakah yang luasnya lebih besar?",,,,A,,,A,B,Sama,Tidak dapat ditentukan,,,,,,,
6,36,essay,practice,"Sebuah layang-layang memiliki luas 96 cm2. Jika salah satu diagonal 16 cm, berapa diagonal lainnya?",,,,12,,,,,,,,,,,,,
6,37,essay,practice,Sebuah papan 30 cm x 20 cm diberi lubang persegi sisi 6 cm di tengah. Berapa luas papan yang tersisa?,,,TODO_IMG_LUAS_H07.png,564,,,,,,,,,,,,,
6,38,multipart,practice,Hitung luas bangun pada gambar.,,,TODO_IMG_LUAS_H08.png,,,,,,,,,,,,,,a|Bagian persegi panjang 12 cm x 6 cm|72;b|Bagian segitiga alas 8 cm tinggi 6 cm|24;c|Total luas bangun|96
