material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
56,1,essay,practice,,Setengah dari 8 adalah ...,,,4,,,,,,,,,,,,,
56,2,essay,practice,,Seperempat dari 12 adalah ...,,,3,,,,,,,,,,,,,
56,3,mcq,practice,,Gambar yang menunjukkan setengah adalah...,,TODO_IMG_SETENGAH_A_B.png,B,,,bagian tidak sama,bagian sama besar,bagian miring kecil,bagian acak,,,,,,,
56,4,drag_drop,practice,,Pasangkan pecahan dengan arti kata.,,,,,,,,,,,,,,1/2;1/4,setengah;seperempat,
56,5,essay,practice,,"Jika kue dibagi 2 bagian sama besar, tiap bagian bernilai ...",,,1/2,,,,,,,,,,,,,
56,6,essay,practice,,"Jika pizza dibagi 4 bagian sama besar, tiap bagian bernilai ...",,,1/4,,,,,,,,,,,,,
56,7,mcq,practice,,Yang merupakan contoh setengah dari benda utuh adalah...,,,C,,,1 dari 4 bagian,2 dari 4 bagian tidak sama,1 dari 2 bagian sama,3 dari 4 bagian,,,,,,,
56,8,essay,practice,,"Dina memiliki 10 permen, ia membagi sama banyak kepada 2 teman. Masing-masing mendapat ...",,,5,,,,,,,,,,,,,
56,9,drag_drop,practice,,Pasangkan gambar dengan pecahan.,,,,,,,,,,,,,,🍎🍎🍎🍎 (2 diwarnai);🍪🍪🍪🍪 (1 diwarnai),1/2;1/4,
56,10,essay,practice,,Setengah dari 14 adalah ...,,,7,,,,,,,,,,,,,
56,11,mcq,practice,,Yang menunjukkan seperempat adalah...,,,A,,,1 dari 4 bagian sama,2 dari 4 bagian sama,1 dari 2 bagian sama,3 dari 4 bagian sama,,,,,,,
56,12,essay,practice,,Seperempat dari 20 adalah ...,,,5,,,,,,,,,,,,,
56,13,multipart,practice,,Tentukan nilai pecahan.,,,,,,,,,,,,,,,,a|Setengah dari 6|3;b|Seperempat dari 8|2;c|Setengah dari 12|6
56,14,mcq,practice,,Bagian yang sama besar penting karena...,,,D,,,agar berbeda,agar acak,agar lebih besar,agar pecahan adil,,,,,,,
56,15,essay,practice,,"Jika 1/2 dari kertas diwarnai, berapa bagian yang tidak diwarnai?",,,1/2,,,,,,,,,,,,,
56,16,drag_drop,practice,,Pasangkan kalimat dengan pecahan.,,,,,,,,,,,,,,2 dari 4 bagian sama;1 dari 2 bagian sama;1 dari 4 bagian sama,1/2;1/2;1/4,
56,17,essay,practice,,Ibu memotong semangka menjadi 2 bagian sama besar. Satu bagian disebut ...,,,setengah,,,,,,,,,,,,,
56,18,mcq,practice,,Gambar yang menunjukkan 1/4 adalah...,,TODO_IMG_SEPEREMPAT.png,B,,,3 dari 4 diwarnai,1 dari 4 diwarnai,2 dari 4 diwarnai,4 dari 4 diwarnai,,,,,,,
56,19,essay,practice,,Setengah dari 18 adalah ...,,,9,,,,,,,,,,,,,
56,20,mcq,practice,,Mana yang setengah dari 16?,,,C,,,6,7,8,9,,,,,,,
56,21,essay,practice,,Seperempat dari 28 adalah ...,,,7,,,,,,,,,,,,,
56,22,multipart,practice,,Isi jawaban yang tepat.,,,,,,,,,,,,,,,,a|Setengah dari 22|11;b|Seperempat dari 24|6;c|Setengah dari 30|15
56,23,drag_drop,practice,,Pasangkan pecahan dengan jumlah bagian diwarnai (dari 4).,,,,,,,,,,,,,,1/4;1/2,1 bagian;2 bagian,
56,24,essay,practice,,Rina punya 12 kelereng. Ia memberi setengahnya kepada adik. Berapa kelereng adik?,,,6,,,,,,,,,,,,,
56,25,mcq,practice,,Seperempat dari 8 adalah...,,,A,,,2,3,4,1,,,,,,,
