"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"59","1","pilihan_ganda","practice","Bilangan ""enam ratus tiga puluh empat"" ditulis sebagai ...","","","","C","","","643","624","634","664","","","","","","",""
"59","2","essay","practice","Tulis lambang bilangan: ""tujuh ratus tiga"" dan ""sembilan ratus"".","","","","703 dan 900","","","","","","","","","","","","",""
"59","3","multipart","practice","Gunakan tabel nilai tempat pada gambar.","","","/images/math3-bab1-bilangan/q3-nilai-tempat.png","","","","","","","","","","","","","","a|Nilai angka 5 pada 251|50;b|Bilangan yang punya 0 puluhan dan 2 satuan|602;c|Nilai angka 9 pada 907|900"
"59","4","pilihan_ganda","practice","Jika 10 satuan = 1 puluhan, maka 34 satuan sama dengan ...","","","","B","","","3 puluhan 5 satuan","3 puluhan 4 satuan","4 puluhan 3 satuan","34 puluhan","","","","","","",""
"59","5","essay","practice","Uraikan bilangan 572 ke bentuk nilai tempat.","","","","500 + 70 + 2","","","","","","","","","","","","",""
"59","6","multipart","practice","Lengkapi bentuk nilai tempat berikut.","","","","","","","","","","","","","","","","","a|602 = ... ratusan + ... puluhan + ... satuan|6,0,2;b|930 = ... + ... + ...|900,30,0;c|845 nilai angka 8|800"
"59","7","pilihan_ganda","practice","Bilangan terbesar dari digit 3, 5, 0 (tanpa nol di depan) adalah ...","","","","A","","","530","503","350","305","","","","","","",""
"59","8","essay","practice","Buat bilangan 3 angka terkecil dari digit 4, 1, 9 tanpa pengulangan.","","","","149","","","","","","","","","","","","",""
"59","9","pilihan_ganda","practice","Dari data pada gambar, urutan dari terkecil ke terbesar yang benar adalah ...","","","/images/math3-bab1-bilangan/q9-urut-bilangan.png","D","","","720, 709, 701, 698, 639","639, 698, 720, 701, 709","639, 709, 701, 698, 720","639, 698, 701, 709, 720","","","","","","",""
"59","10","essay","practice","Bandingkan dengan tanda yang tepat: 339 ... 421 dan 583 ... 529.","","","","339 < 421 dan 583 > 529","","","","","","","","","","","","",""
"59","11","multipart","practice","Tentukan hasil dan jelaskan singkat strategi nilai tempat.","","","","","","","","","","","","","","","","","a|28 + 57|85;b|32 + 49|81;c|67 + 7|74"
"59","12","pilihan_ganda","practice","Pada 48 + 16, alasan menyimpan 1 puluhan adalah ...","","","","C","","","karena 4 + 1 = 5","karena 48 lebih besar dari 16","karena 8 + 6 = 14, jadi 10 disimpan ke puluhan","karena 1 harus selalu disimpan","","","","","","",""
"59","13","essay","practice","Hitung dengan cara bersusun: 64 + 29 dan 83 + 54.","","","","93 dan 137","","","","","","","","","","","","",""
"59","14","pilihan_ganda","practice","Hasil 72 - 29 adalah ...","","","","B","","","47","43","53","39","","","","","","",""
"59","15","essay","practice","Hitung: 60 - 35. Tulis alasan mengapa perlu meminjam.","","","","25; karena 0 < 5, pinjam 1 puluhan menjadi 10 satuan","","","","","","","","","","","","",""
"59","16","multipart","practice","Lengkapi pengurangan berikut.","","","","","","","","","","","","","","","","","a|45 - 19|26;b|93 - 28|65;c|87 - 9|78"
"59","17","pilihan_ganda","practice","Perkalian sebagai penjumlahan berulang yang benar untuk 5 x 3 adalah ...","","","","A","","","3 + 3 + 3 + 3 + 3","5 + 5 + 5","3 + 5","15 + 3","","","","","","",""
"59","18","essay","practice","Jika ada 6 kotak, tiap kotak berisi 5 biskuit, berapa total biskuit?","","","","30","","","","","","","","","","","","",""
"59","19","multipart","practice","Gunakan data pada gambar penjumlahan bersusun.","","","/images/math3-bab1-bilangan/q19-penjumlahan-susun.png","","","","","","","","","","","","","","a|48 + 16|64;b|67 + 25|92;c|39 + 47|86"
"59","20","pilihan_ganda","practice","Pembagian 28 : 7 bermakna ...","","","","D","","","28 dikali 7","7 dikurangi 28 berulang","28 ditambah 7 berulang","28 dikurangi 7 berulang hingga 0, banyak pengurangan = 4","","","","","","",""
"59","21","essay","practice","Hitung: 36 : 4, 48 : 6, dan 45 : 9.","","","","9, 8, 5","","","","","","","","","","","","",""
"59","22","multipart","practice","Gunakan hubungan kebalikan perkalian-pembagian.","","","","","","","","","","","","","","","","","a|Jika 15 : 3 = 5 maka 5 x 3|15;b|Jika 24 : 6 = 4 maka 4 x 6|24;c|Jika 32 : 4 = 8 maka 8 x 4|32"
"59","23","pilihan_ganda","practice","Soal cerita: 22 siswa perempuan dan 19 laki-laki ikut lomba. Jumlah peserta adalah ...","","","","C","","","39","40","41","42","","","","","","",""
"59","24","essay","practice","Kakak membeli 36 apel dibagi rata ke 6 teman. Tiap teman dapat berapa?","","","","6","","","","","","","","","","","","",""
"59","25","pilihan_ganda","practice","Data tinggi: 123, 139, 115, 109, 127, 120. Nilai tertinggi adalah ...","","","","B","","","127","139","123","120","","","","","","",""
"59","26","essay","practice","Urutkan tinggi 123, 139, 115 dari tertinggi ke terendah.","","","","139, 123, 115","","","","","","","","","","","","",""
"59","27","multipart","practice","Dari data tinggi 123, 139, 115, 109, 127, 120.","","","","","","","","","","","","","","","","","a|Banyak data dengan puluhan < 3|5;b|Apakah 115 > 127?|tidak;c|Jangkauan data|30"
"59","28","pilihan_ganda","practice","Nilai tempat angka 3 pada bilangan 231 adalah ...","","","","A","","","30","300","3","203","","","","","","",""
"59","29","essay","practice","Tuliskan bacaan bilangan 602 dan 930.","","","","enam ratus dua; sembilan ratus tiga puluh","","","","","","","","","","","","",""
"59","30","multipart","practice","Gunakan konteks pada gambar untuk menjawab.","","","/images/math3-bab1-bilangan/q30-soal-cerita.png","","","","","","","","","","","","","","a|Jumlah buku perpustakaan (23+16)|39;b|Telur per kotak (24:3)|8;c|Balon per hari (63:7)|9"
"59","31","pilihan_ganda","practice","Bilangan yang tepat untuk 8 ratusan, 0 puluhan, 4 satuan adalah ...","","","","D","","","840","8004","8040","804","","","","","","",""
